#dataset merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter -0.039 -0.036 -0.004 -0.015 0.015 -0.095 -0.072 -0.129
MetaKV 0.017 0.016 0.002 0.005 0.010 -0.009 -0.012 -0.102
MetaCDN 0.001 0.003 -0.007 -0.001 0.000 -0.001 0.006 0.064
TencentPhoto 0.134 0.140 0.036 0.054 0.081 0.015 -0.005 -0.089
Wikimedia 0.342 0.366 0.238 0.295 0.189 0.247 0.285 0.041
Tencent 0.183 0.170 0.060 0.180 0.056 -0.027 -0.104 -0.007
Systor 0.187 0.221 0.081 0.116 0.016 0.136 0.132 0.232
fiu 0.274 0.271 0.276 0.254 0.076 0.271 0.089 0.127
MSR 0.178 0.182 0.019 0.248 0.091 0.076 0.047 0.059
Alibaba 0.277 0.229 0.153 0.241 0.052 0.169 0.115 0.062
CloudPhysics 0.286 0.276 0.103 0.275 0.061 0.176 0.188 0.015
