#dataset merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.011 0.015 0.004 0.001 0.002 0.000 0.002 0.009
MetaKV 0.005 0.005 0.001 0.001 0.002 0.002 -0.007 0.003
MetaCDN 0.037 0.037 0.022 0.019 0.000 0.012 -0.009 0.016
TencentPhoto 0.018 0.016 0.006 0.014 0.010 -0.004 -0.076 0.018
Wikimedia 0.031 0.034 0.029 0.036 0.010 0.031 0.036 0.029
Tencent 0.044 0.035 0.022 0.023 0.007 0.041 0.048 -0.004
Systor 0.118 0.127 0.152 0.035 0.004 0.171 0.128 0.066
fiu 0.236 0.130 0.095 0.088 0.034 0.284 0.259 0.020
MSR 0.373 0.146 0.243 0.272 0.019 0.312 0.308 0.037
Alibaba 0.062 0.056 0.044 0.046 0.016 0.065 0.051 0.005
CloudPhysics 0.217 0.176 0.128 0.136 0.022 0.216 0.207 0.074
