#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
io_traces.ns510.oracleGeneral.zst_2400000,0.1085,0.1083,0.1083,0.1083,0.1086,0.1084,0.1084,0.1084,0.1087,0.1084,0.1084,0.1084,0.1085,0.1083,0.1083,0.1083,0.1085,0.1084,0.1084,0.1084,0.1085,0.1084,0.1084,0.1084,0.1087,0.1088,0.1088,0.1088,0.1088,0.1091,0.1091,0.1091,0.1077,0.1075,0.1057,0.1057,0.1089,0.109,0.109,0.109,0.1072,0.107,0.1061,0.1061,0.1093,0.1092,0.1084,0.1084
io_traces.ns547.oracleGeneral.zst_6600000,0.06,0.0592,0.0591,0.0591,0.0598,0.0592,0.0591,0.0591,0.0597,0.0592,0.0591,0.0591,0.0597,0.059,0.0589,0.0589,0.0595,0.059,0.0589,0.0589,0.0594,0.059,0.0589,0.0589,0.0588,0.0585,0.0584,0.0584,0.0588,0.0584,0.0584,0.0584,0.0587,0.0584,0.0584,0.0584,0.0581,0.0578,0.0577,0.0577,0.058,0.0578,0.0577,0.0577,0.0579,0.0578,0.0577,0.0577
io_traces.ns191.oracleGeneral.zst_11600000,0.1258,0.1253,0.1253,0.1253,0.1258,0.1253,0.1253,0.1253,0.1258,0.1253,0.1253,0.1253,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.1204,0.1205,0.1205,0.1205,0.1191,0.119,0.119,0.119,0.1191,0.119,0.119,0.119,0.1191,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119
io_traces.ns44.oracleGeneral.zst_3200000,0.1496,0.1482,0.1473,0.1473,0.1495,0.1482,0.1473,0.1473,0.1493,0.1482,0.1473,0.1473,0.15,0.1487,0.1458,0.1458,0.1498,0.1487,0.1458,0.1458,0.1498,0.1487,0.1458,0.1458,0.1469,0.1436,0.1433,0.1433,0.1468,0.1436,0.1433,0.1433,0.1468,0.1436,0.1433,0.1433,0.1451,0.1423,0.1422,0.1422,0.1451,0.1423,0.1422,0.1422,0.1451,0.1423,0.1422,0.1422
io_traces.ns344.oracleGeneral.zst_2400000,0.1589,0.1585,0.1585,0.1585,0.1587,0.1585,0.1585,0.1585,0.1587,0.1585,0.1585,0.1585,0.1548,0.1544,0.1544,0.1544,0.1546,0.1544,0.1544,0.1544,0.1545,0.1544,0.1544,0.1544,0.1527,0.1525,0.1525,0.1525,0.1526,0.1525,0.1525,0.1525,0.1526,0.1526,0.1525,0.1525,0.1511,0.1511,0.151,0.151,0.1511,0.151,0.151,0.151,0.1511,0.151,0.151,0.151
io_traces.ns794.oracleGeneral.zst_1400000,0.1308,0.1299,0.1297,0.1297,0.1305,0.1299,0.1297,0.1297,0.1303,0.1298,0.1297,0.1297,0.1309,0.1301,0.13,0.13,0.1307,0.1301,0.13,0.13,0.1305,0.13,0.13,0.13,0.1307,0.1302,0.1301,0.1301,0.1306,0.1301,0.1301,0.1301,0.1304,0.1301,0.1301,0.1301,0.1306,0.1302,0.1301,0.1301,0.1305,0.1302,0.1301,0.1301,0.1304,0.1302,0.1301,0.1301
io_traces.ns749.oracleGeneral.zst_14200000,0.4676,0.4667,0.4663,0.4663,0.4674,0.4667,0.4663,0.4663,0.4672,0.4666,0.4663,0.4663,0.4556,0.4552,0.455,0.455,0.4555,0.4551,0.455,0.455,0.4554,0.4551,0.455,0.455,0.4556,0.4551,0.4549,0.4549,0.4554,0.4551,0.4549,0.4549,0.4553,0.455,0.4549,0.4549,0.4555,0.4552,0.4552,0.4552,0.4554,0.4552,0.4552,0.4552,0.4553,0.4552,0.4552,0.4552
io_traces.ns283.oracleGeneral.zst_26200000,0.1677,0.1675,0.1674,0.1674,0.1677,0.1675,0.1674,0.1674,0.1677,0.1675,0.1674,0.1674,0.16,0.1599,0.1599,0.1599,0.16,0.1599,0.1599,0.1599,0.16,0.1599,0.1599,0.1599,0.1583,0.1583,0.1583,0.1583,0.1583,0.1583,0.1583,0.1583,0.1583,0.1583,0.1583,0.1583,0.1582,0.1582,0.1582,0.1582,0.1582,0.1582,0.1582,0.1582,0.1582,0.1582,0.1582,0.1582
io_traces.ns262.oracleGeneral.zst_78800000,0.0379,0.0379,0.0379,0.0379,0.0379,0.0379,0.0379,0.0379,0.0378,0.0378,0.0378,0.0378,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358
io_traces.ns97.oracleGeneral.zst_18800000,0.0917,0.0916,0.0915,0.0915,0.0916,0.0916,0.0915,0.0915,0.0916,0.0915,0.0915,0.0915,0.0916,0.0915,0.0914,0.0914,0.0916,0.0915,0.0914,0.0914,0.0915,0.0914,0.0914,0.0914,0.0916,0.0915,0.0914,0.0914,0.0916,0.0915,0.0914,0.0914,0.0915,0.0915,0.0914,0.0914,0.0916,0.0915,0.0914,0.0914,0.0915,0.0915,0.0914,0.0914,0.0915,0.0914,0.0914,0.0914
io_traces.ns555.oracleGeneral.zst_4000000,0.2864,0.2864,0.2864,0.2864,0.2864,0.2864,0.2864,0.2864,0.2864,0.2864,0.2864,0.2864,0.2854,0.2854,0.2854,0.2854,0.2854,0.2854,0.2854,0.2854,0.2854,0.2854,0.2854,0.2854,0.2851,0.2851,0.2851,0.2851,0.2851,0.2851,0.2851,0.2851,0.2851,0.2851,0.2851,0.2851,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285
io_traces.ns22.oracleGeneral.zst_14600000,0.6445,0.6454,0.6459,0.6459,0.6449,0.6455,0.6459,0.6459,0.6452,0.6455,0.6459,0.6459,0.6468,0.6478,0.6476,0.6476,0.647,0.6479,0.6476,0.6476,0.6471,0.6479,0.6476,0.6476,0.6504,0.6504,0.65,0.6501,0.6508,0.6504,0.65,0.6501,0.6504,0.6503,0.65,0.6501,0.6529,0.6527,0.653,0.653,0.653,0.6529,0.653,0.653,0.6526,0.6529,0.653,0.653
io_traces.ns350.oracleGeneral.zst_3200000,0.296,0.2981,0.364,0.364,0.2966,0.2987,0.3643,0.3643,0.3016,0.2986,0.365,0.3649,0.3071,0.3095,0.3734,0.3734,0.3077,0.3102,0.3736,0.3736,0.3126,0.3095,0.3742,0.3742,0.3185,0.3215,0.386,0.386,0.3192,0.3226,0.3859,0.3859,0.3232,0.3235,0.3857,0.3857,0.3279,0.3383,0.3853,0.3853,0.3284,0.3389,0.3855,0.3854,0.3294,0.3399,0.3666,0.3705
io_traces.ns65.oracleGeneral.zst_2800000,0.1201,0.1219,0.1224,0.1224,0.1201,0.1219,0.1224,0.1224,0.12,0.1219,0.1223,0.1223,0.1219,0.1249,0.1248,0.1248,0.1219,0.1249,0.1248,0.1248,0.1219,0.1249,0.1248,0.1248,0.1236,0.1254,0.1253,0.1253,0.1236,0.1254,0.1253,0.1253,0.1236,0.1254,0.1253,0.1253,0.1272,0.1265,0.1268,0.1268,0.1272,0.1265,0.1268,0.1268,0.1272,0.1264,0.1267,0.1267
io_traces.ns370.oracleGeneral.zst_4400000,0.141,0.1645,0.1712,0.1712,0.1414,0.1649,0.1717,0.1717,0.142,0.1654,0.1722,0.1722,0.1503,0.1744,0.1788,0.1788,0.1509,0.1748,0.1792,0.1792,0.1515,0.1754,0.1799,0.1799,0.162,0.1846,0.1863,0.1863,0.1627,0.1849,0.1866,0.1866,0.1636,0.1854,0.1869,0.1869,0.1737,0.1911,0.1912,0.1912,0.1743,0.1912,0.1913,0.1913,0.1741,0.1913,0.1913,0.1913
io_traces.ns519.oracleGeneral.zst_1800000,0.1725,0.1754,0.176,0.176,0.173,0.1761,0.1767,0.1767,0.1736,0.177,0.1778,0.1778,0.1886,0.1902,0.1917,0.1917,0.1899,0.1916,0.1934,0.1934,0.1912,0.1933,0.1955,0.1955,0.2089,0.2108,0.2112,0.2112,0.2089,0.2109,0.2115,0.2115,0.2071,0.2096,0.2098,0.2098,0.19,0.1911,0.1916,0.1916,0.1907,0.1918,0.1921,0.1921,0.1915,0.1926,0.193,0.193
io_traces.ns699.oracleGeneral.zst_2400000,0.1062,0.1062,0.1062,0.1062,0.1062,0.1062,0.1062,0.1062,0.1052,0.1052,0.1052,0.1052,0.1067,0.1067,0.1067,0.1067,0.106,0.106,0.106,0.106,0.1047,0.1047,0.1047,0.1047,0.1076,0.1076,0.1076,0.1076,0.1057,0.1058,0.1058,0.1058,0.1074,0.1075,0.1075,0.1075,0.1087,0.1087,0.1087,0.1087,0.11,0.1098,0.1098,0.1098,0.1095,0.1103,0.1101,0.1101
io_traces.ns477.oracleGeneral.zst_2800000,0.0562,0.056,0.056,0.056,0.0562,0.056,0.056,0.056,0.0569,0.0567,0.0567,0.0567,0.0566,0.0566,0.0566,0.0566,0.0567,0.0567,0.0567,0.0567,0.0575,0.0573,0.0573,0.0573,0.0575,0.0575,0.0575,0.0575,0.0573,0.0573,0.0573,0.0573,0.0584,0.0581,0.0581,0.0581,0.0598,0.0599,0.0599,0.0599,0.0588,0.059,0.059,0.059,0.0599,0.0598,0.0598,0.0598
io_traces.ns101.oracleGeneral.zst_2600000,0.0766,0.0765,0.0765,0.0765,0.0766,0.0765,0.0765,0.0765,0.0801,0.0798,0.0798,0.0798,0.0756,0.0756,0.0756,0.0756,0.0756,0.0756,0.0756,0.0756,0.0803,0.08,0.0801,0.0801,0.0736,0.0736,0.0736,0.0736,0.0754,0.0752,0.0752,0.0752,0.0796,0.0794,0.0794,0.0794,0.073,0.073,0.073,0.073,0.0748,0.0745,0.0745,0.0745,0.0776,0.0771,0.0771,0.0771
io_traces.ns209.oracleGeneral.zst_3800000,0.4135,0.4118,0.4103,0.4103,0.4129,0.4118,0.4103,0.4103,0.4129,0.4115,0.4103,0.4103,0.4142,0.4118,0.4105,0.4105,0.4139,0.4119,0.4105,0.4105,0.4138,0.4116,0.4105,0.4105,0.4141,0.4133,0.4117,0.4117,0.4137,0.4133,0.4117,0.4117,0.4137,0.4129,0.4117,0.4117,0.4148,0.4145,0.4129,0.4129,0.4146,0.4146,0.4129,0.4129,0.4146,0.4139,0.4129,0.4129
io_traces.ns72.oracleGeneral.zst_37600000,0.0637,0.0636,0.0636,0.0636,0.0635,0.0634,0.0634,0.0634,0.0645,0.0643,0.0643,0.0643,0.0561,0.0561,0.0561,0.0561,0.0561,0.0561,0.0561,0.0561,0.0566,0.0565,0.0565,0.0565,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0544,0.0548,0.0548,0.0548,0.0548,0.0538,0.0538,0.0538,0.0538,0.0541,0.0542,0.0542,0.0542,0.0541,0.0541,0.0541,0.0541
io_traces.ns96.oracleGeneral.zst_14600000,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0787,0.0787,0.0787,0.0787,0.0787,0.0787,0.0787,0.0787,0.0787,0.0787,0.0787,0.0787
io_traces.ns85.oracleGeneral.zst_6200000,0.1138,0.1137,0.1137,0.1137,0.1138,0.1137,0.1137,0.1137,0.1138,0.1137,0.1137,0.1137,0.1133,0.1132,0.1132,0.1132,0.1133,0.1132,0.1132,0.1132,0.1133,0.1132,0.1132,0.1132,0.1131,0.113,0.113,0.113,0.1131,0.113,0.113,0.113,0.1131,0.113,0.113,0.113,0.113,0.1129,0.1129,0.1129,0.113,0.1129,0.1129,0.1129,0.113,0.1129,0.1129,0.1129
io_traces.ns443.oracleGeneral.zst_2000000,0.0649,0.0649,0.0649,0.0669,0.0648,0.0649,0.0649,0.0648,0.0633,0.0635,0.0634,0.0636,0.065,0.0653,0.0659,0.068,0.064,0.0642,0.0642,0.0642,0.0657,0.0657,0.0652,0.0655,0.0662,0.0668,0.067,0.067,0.0659,0.0656,0.0658,0.0659,0.0667,0.0669,0.0665,0.0667,0.068,0.0685,0.0689,0.069,0.0671,0.0667,0.0667,0.0669,0.068,0.0684,0.0685,0.0686
io_traces.ns360.oracleGeneral.zst_9600000,0.0651,0.0651,0.0651,0.0651,0.0685,0.0686,0.0686,0.0686,0.074,0.074,0.074,0.074,0.0545,0.0545,0.0545,0.0545,0.0552,0.0552,0.0552,0.0552,0.057,0.057,0.057,0.057,0.053,0.053,0.053,0.053,0.0535,0.0535,0.0535,0.0535,0.0545,0.0546,0.0546,0.0546,0.0529,0.0529,0.0529,0.0529,0.0535,0.0535,0.0535,0.0535,0.0535,0.0535,0.0535,0.0535
io_traces.ns290.oracleGeneral.zst_7800000,0.0858,0.0846,0.0846,0.0846,0.0857,0.0844,0.0844,0.0844,0.0856,0.0843,0.0843,0.0843,0.0769,0.0769,0.0769,0.0769,0.0769,0.0769,0.0769,0.0769,0.0769,0.0769,0.0769,0.0769,0.0751,0.0755,0.0755,0.0755,0.0752,0.0755,0.0755,0.0755,0.0752,0.0755,0.0755,0.0755,0.0749,0.075,0.075,0.075,0.0749,0.075,0.075,0.075,0.0749,0.075,0.075,0.075
