#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
w91.oracleGeneral.bin.zst_4316605,0.1778,0.1784,0.1784,0.1785,0.1777,0.1784,0.1784,0.1785,0.1748,0.1754,0.1768,0.1774,0.1767,0.1777,0.1783,0.1785,0.1767,0.1777,0.1783,0.1785,0.1733,0.1776,0.1783,0.1785,0.1816,0.1815,0.1817,0.1818,0.1815,0.1814,0.1817,0.1818,0.1782,0.1778,0.1817,0.1818,0.1841,0.1838,0.1861,0.1866,0.1841,0.1838,0.186,0.1866,0.1801,0.1798,0.1861,0.1866
w85.oracleGeneral.bin.zst_4790048,0.4659,0.4659,0.5182,0.5688,0.4643,0.4642,0.525,0.5419,0.4636,0.4635,0.479,0.5652,0.4761,0.476,0.5813,0.5774,0.4759,0.4758,0.4813,0.531,0.4759,0.4759,0.4912,0.5469,0.4927,0.4927,0.5402,0.5847,0.4925,0.4925,0.4978,0.5767,0.4925,0.4926,0.5091,0.5637,0.5096,0.5097,0.5447,0.5985,0.5095,0.5095,0.5101,0.607,0.5095,0.5095,0.5209,0.5748
w87.oracleGeneral.bin.zst_3788806,0.617,0.6152,0.6177,0.6177,0.6172,0.6165,0.6177,0.6177,0.6178,0.6167,0.6177,0.6177,0.6218,0.6208,0.6201,0.6201,0.6216,0.6208,0.6201,0.6201,0.6215,0.6208,0.6201,0.6201,0.623,0.6223,0.6222,0.6222,0.6227,0.6223,0.6222,0.6222,0.6226,0.6223,0.6222,0.6222,0.625,0.6242,0.6242,0.6242,0.6248,0.6242,0.6242,0.6242,0.6248,0.6242,0.6242,0.6242
w106.oracleGeneral.bin.zst_3275919,0.1071,0.1071,0.107,0.107,0.1071,0.1071,0.107,0.107,0.107,0.107,0.107,0.107,0.1071,0.1071,0.1071,0.107,0.1071,0.1071,0.1071,0.107,0.1071,0.1071,0.1071,0.107,0.1076,0.1076,0.1075,0.1075,0.1076,0.1076,0.1075,0.1075,0.1076,0.1076,0.1075,0.1075,0.1082,0.1082,0.1081,0.1081,0.1082,0.1082,0.1081,0.1081,0.1082,0.1082,0.1081,0.1081
w16.oracleGeneral.bin.zst_26702188,0.4747,0.4638,0.4997,0.4997,0.4752,0.4637,0.4997,0.4997,0.4746,0.4637,0.4997,0.4997,0.4765,0.4645,0.5115,0.5115,0.4764,0.4645,0.5115,0.5115,0.4764,0.4648,0.5115,0.5115,0.4807,0.4713,0.5284,0.5284,0.4807,0.4713,0.5284,0.5284,0.4806,0.4713,0.5284,0.5284,0.4861,0.4806,0.5465,0.5465,0.4862,0.4806,0.5468,0.5468,0.4865,0.4806,0.5468,0.5468
w20.oracleGeneral.bin.zst_29842317,0.3793,0.3784,0.3784,0.3784,0.3793,0.3784,0.3784,0.3784,0.3794,0.3784,0.3784,0.3784,0.3963,0.3928,0.3928,0.3928,0.3963,0.3928,0.3928,0.3928,0.394,0.3928,0.3928,0.3928,0.3996,0.3975,0.3975,0.3975,0.398,0.3975,0.3975,0.3975,0.398,0.3975,0.3975,0.3975,0.3993,0.3993,0.3992,0.3992,0.3992,0.3992,0.3992,0.3992,0.3992,0.3992,0.3992,0.3992
w61.oracleGeneral.bin.zst_9884691,0.2283,0.2276,0.2305,0.2305,0.2285,0.2275,0.2303,0.2303,0.2285,0.2275,0.2301,0.2301,0.2212,0.2246,0.229,0.229,0.2213,0.2245,0.229,0.229,0.2213,0.2246,0.229,0.229,0.2282,0.23,0.2347,0.2347,0.2283,0.2301,0.2346,0.2346,0.2285,0.2309,0.2333,0.2333,0.2345,0.239,0.2437,0.2437,0.2342,0.2392,0.2437,0.2437,0.2343,0.2304,0.2366,0.2366
w92.oracleGeneral.bin.zst_4284658,0.5517,0.5517,0.5511,0.645,0.5509,0.5508,0.5507,0.6086,0.552,0.5512,0.5509,0.6194,0.5606,0.5606,0.5605,0.6531,0.5605,0.5605,0.5604,0.6186,0.5604,0.5605,0.5603,0.6219,0.5741,0.574,0.5738,0.6728,0.5738,0.5736,0.5734,0.6253,0.5736,0.5735,0.5733,0.6239,0.5855,0.5854,0.5849,0.6788,0.5855,0.585,0.5847,0.6171,0.5853,0.585,0.5847,0.6228
w103.oracleGeneral.bin.zst_3442094,0.1408,0.1439,0.1466,0.1466,0.141,0.1439,0.1465,0.1465,0.141,0.1439,0.1465,0.1465,0.1404,0.1451,0.1459,0.1459,0.1406,0.1451,0.1459,0.1459,0.1405,0.1457,0.1459,0.1459,0.1417,0.1452,0.1466,0.1466,0.1418,0.1452,0.1466,0.1466,0.1416,0.1453,0.1468,0.1468,0.1448,0.1472,0.1485,0.1485,0.1448,0.1473,0.1485,0.1485,0.1446,0.1473,0.1485,0.1485
w24.oracleGeneral.bin.zst_27165370,0.2395,0.2388,0.2409,0.2422,0.2394,0.2388,0.2409,0.2422,0.2393,0.2389,0.2409,0.2422,0.2393,0.2398,0.2436,0.244,0.2393,0.2398,0.2436,0.244,0.2393,0.2401,0.2436,0.244,0.2412,0.2432,0.2462,0.2462,0.2412,0.2432,0.2462,0.2462,0.2413,0.2432,0.2462,0.2462,0.246,0.2474,0.25,0.2508,0.246,0.2474,0.25,0.2508,0.2453,0.2474,0.25,0.2508
w80.oracleGeneral.bin.zst_5256246,0.2408,0.2392,0.2914,0.2915,0.241,0.2392,0.2881,0.2882,0.2408,0.2409,0.2872,0.2874,0.2442,0.2438,0.2911,0.2914,0.2445,0.2439,0.2902,0.2904,0.245,0.246,0.2894,0.2896,0.2498,0.2501,0.2965,0.2966,0.2508,0.2502,0.2956,0.2958,0.2513,0.2523,0.268,0.274,0.2568,0.2578,0.3036,0.3035,0.2572,0.2598,0.3029,0.3031,0.2586,0.2603,0.2869,0.2943
w94.oracleGeneral.bin.zst_4118188,0.2339,0.2322,0.2334,0.2334,0.2337,0.2323,0.2334,0.2334,0.2336,0.2322,0.2334,0.2334,0.2287,0.229,0.2302,0.2302,0.2288,0.2291,0.2302,0.2302,0.2292,0.229,0.2302,0.2302,0.2281,0.2279,0.2283,0.2283,0.2281,0.2279,0.2283,0.2283,0.2281,0.2279,0.2283,0.2283,0.2275,0.2272,0.2283,0.2283,0.2276,0.2272,0.2283,0.2283,0.2276,0.2272,0.2289,0.2289
w58.oracleGeneral.bin.zst_10530695,0.1467,0.1466,0.1509,0.1517,0.1467,0.1466,0.1509,0.1517,0.1469,0.1468,0.151,0.1518,0.1423,0.1444,0.154,0.1534,0.1423,0.1446,0.154,0.1534,0.1424,0.1451,0.1539,0.1534,0.1418,0.1519,0.1521,0.1517,0.142,0.1519,0.1529,0.152,0.1421,0.1556,0.1578,0.157,0.1481,0.1533,0.153,0.1526,0.1481,0.1536,0.1531,0.1526,0.1482,0.1588,0.1583,0.1572
w101.oracleGeneral.bin.zst_3587707,0.5514,0.5489,0.5501,0.5501,0.5513,0.5492,0.5501,0.5501,0.5507,0.5496,0.5501,0.5501,0.5519,0.5525,0.5524,0.5524,0.5517,0.5526,0.5524,0.5524,0.5513,0.5525,0.5524,0.5524,0.5529,0.5547,0.5553,0.5553,0.5535,0.5549,0.5553,0.5553,0.5532,0.555,0.5553,0.5553,0.5564,0.5565,0.5554,0.5554,0.5566,0.5564,0.5554,0.5554,0.5561,0.5563,0.5554,0.5554
