#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.7052,0.6979,0.6808,0.6819,0.7046,0.6978,0.6805,0.6818,0.7046,0.6989,0.6847,0.6844,0.7004,0.6955,0.6799,0.6812,0.7002,0.6955,0.6793,0.6811,0.7004,0.6957,0.6811,0.6822,0.6983,0.695,0.6796,0.6823,0.6982,0.6948,0.6795,0.6824,0.6989,0.6955,0.6815,0.6838,0.6967,0.6941,0.6809,0.6831,0.6968,0.6939,0.6809,0.6834,0.6977,0.6952,0.6833,0.6842
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.4568,0.447,0.4386,0.4359,0.4571,0.4477,0.4387,0.4375,0.4591,0.4487,0.4395,0.4384,0.4522,0.4439,0.4365,0.4356,0.4527,0.4441,0.4367,0.4365,0.4554,0.4458,0.4384,0.4363,0.4492,0.4397,0.4359,0.4353,0.4498,0.4398,0.4359,0.4354,0.4513,0.4426,0.4373,0.4369,0.4472,0.4384,0.4351,0.4348,0.4474,0.4385,0.4346,0.4356,0.4491,0.4404,0.4363,0.4362
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.7459,0.7457,0.7461,0.746,0.747,0.7457,0.7459,0.7457,0.7463,0.7445,0.7455,0.7456,0.7468,0.7461,0.7464,0.7462,0.7467,0.7451,0.7463,0.746,0.7462,0.7449,0.7461,0.7459,0.7469,0.7466,0.7467,0.7466,0.7467,0.7456,0.7465,0.7464,0.7461,0.7452,0.7463,0.7463,0.7478,0.7473,0.7471,0.7469,0.7476,0.7471,0.7471,0.7468,0.7462,0.7467,0.7471,0.7468
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.5327,0.5325,0.5331,0.533,0.5328,0.5327,0.5333,0.533,0.5334,0.5333,0.5344,0.5337,0.5321,0.5325,0.5326,0.5324,0.5317,0.5326,0.5325,0.5325,0.5322,0.5329,0.5329,0.533,0.5323,0.5329,0.5326,0.5326,0.5323,0.5329,0.533,0.5326,0.5322,0.533,0.5331,0.533,0.5328,0.533,0.5328,0.5329,0.5326,0.5331,0.5329,0.533,0.5327,0.5331,0.533,0.5332
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.2471,0.2389,0.2318,0.2293,0.2479,0.2398,0.2318,0.2287,0.2497,0.244,0.2342,0.231,0.2415,0.2348,0.2286,0.2264,0.2421,0.2368,0.2288,0.2262,0.2449,0.2409,0.2313,0.228,0.2399,0.2344,0.2289,0.2274,0.2409,0.235,0.2288,0.2273,0.2445,0.2387,0.2304,0.2281,0.2389,0.2334,0.229,0.228,0.2396,0.2351,0.2296,0.2277,0.2425,0.2354,0.2308,0.2291
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.6641,0.6628,0.6502,0.6494,0.6605,0.6598,0.6507,0.6495,0.6584,0.6577,0.6507,0.6503,0.6631,0.6623,0.6506,0.6498,0.6592,0.6583,0.6509,0.6499,0.6562,0.6555,0.6513,0.6512,0.6629,0.6608,0.6506,0.6499,0.6584,0.6567,0.6512,0.65,0.6574,0.6561,0.6523,0.6517,0.6624,0.657,0.6511,0.6503,0.6606,0.6553,0.6514,0.6506,0.6589,0.6554,0.6533,0.6526
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.6563,0.656,0.6567,0.6566,0.6561,0.6559,0.6565,0.6565,0.6562,0.656,0.6561,0.656,0.6547,0.6548,0.6555,0.6556,0.6546,0.6545,0.6555,0.6555,0.6545,0.6545,0.6547,0.6547,0.6548,0.655,0.6554,0.6556,0.6546,0.6549,0.6555,0.6553,0.6547,0.6541,0.6546,0.6544,0.6551,0.6554,0.6559,0.6559,0.6548,0.6553,0.6556,0.6555,0.6546,0.6546,0.6544,0.6543
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.8131,0.8107,0.8109,0.8117,0.8101,0.8108,0.8105,0.8117,0.8106,0.8103,0.8101,0.8113,0.8117,0.8093,0.8099,0.8106,0.811,0.809,0.8089,0.8105,0.8104,0.809,0.8089,0.81,0.8112,0.8092,0.81,0.8109,0.8109,0.8087,0.8097,0.8106,0.8103,0.8085,0.8089,0.8089,0.8102,0.8095,0.8106,0.8115,0.8097,0.8089,0.8102,0.811,0.8089,0.8088,0.8088,0.809
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.4811,0.4784,0.4847,0.4921,0.481,0.4786,0.4852,0.4925,0.4961,0.4804,0.486,0.4949,0.487,0.4862,0.4926,0.4998,0.4868,0.4862,0.4926,0.4998,0.5035,0.4869,0.4934,0.5003,0.4934,0.4936,0.4996,0.5057,0.4934,0.4938,0.4997,0.5059,0.5045,0.4946,0.5001,0.5042,0.4993,0.4998,0.5048,0.5093,0.4992,0.5001,0.5044,0.5088,0.509,0.5005,0.5032,0.5077
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.8459,0.8461,0.8459,0.8438,0.846,0.8461,0.846,0.8436,0.846,0.8461,0.8457,0.8435,0.8459,0.8462,0.846,0.8442,0.8463,0.8463,0.846,0.844,0.8466,0.8464,0.846,0.8439,0.8464,0.8468,0.8464,0.8446,0.8464,0.8466,0.8464,0.8445,0.8467,0.8467,0.8463,0.8457,0.8474,0.8473,0.8469,0.8454,0.8471,0.8473,0.8468,0.8453,0.8475,0.8471,0.847,0.8454
