#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
msr_proj_4.oracleGeneral.zst_6465639,0.8302,0.8257,0.72,0.6064,0.8302,0.8257,0.7187,0.6128,0.8302,0.8256,0.7214,0.6117,0.8292,0.8237,0.7207,0.6168,0.8292,0.8239,0.7168,0.6182,0.8292,0.8251,0.7197,0.6172,0.8306,0.8228,0.719,0.6257,0.8305,0.8223,0.7125,0.6279,0.8305,0.8223,0.7176,0.6285,0.8307,0.8191,0.6841,0.6332,0.8308,0.8177,0.6965,0.6374,0.8308,0.8183,0.6905,0.6437
msr_prxy_1.oracleGeneral.zst_168638964,0.0028,0.0027,0.0027,0.0027,0.0028,0.0027,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0028,0.0028,0.0028,0.0028,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0028,0.0028,0.0028,0.0028,0.0027,0.0027,0.0027,0.0027,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
msr_prn_0.oracleGeneral.zst_5585886,0.2243,0.2211,0.2217,0.2207,0.2242,0.221,0.2217,0.2205,0.2237,0.221,0.2217,0.2205,0.2201,0.2179,0.2191,0.2181,0.2199,0.2178,0.219,0.2181,0.2198,0.2178,0.2189,0.2179,0.2174,0.2165,0.2183,0.2174,0.217,0.2164,0.2181,0.2174,0.2168,0.2161,0.2183,0.2171,0.2164,0.2154,0.2162,0.2159,0.2164,0.2153,0.2159,0.2158,0.2163,0.2154,0.2178,0.2192
msr_usr_1.oracleGeneral.zst_45283980,0.3827,0.3574,0.3566,0.3615,0.3854,0.3586,0.3568,0.3615,0.3844,0.361,0.3585,0.3587,0.3864,0.3582,0.3574,0.3628,0.3861,0.3587,0.3583,0.3644,0.3849,0.3623,0.3601,0.3591,0.3904,0.3597,0.3583,0.3662,0.3892,0.3598,0.3596,0.3609,0.3884,0.3613,0.3586,0.3616,0.3937,0.3645,0.3655,0.3734,0.3925,0.3648,0.3641,0.3654,0.3942,0.3649,0.3669,0.3653
msr_usr_2.oracleGeneral.zst_10570046,0.7239,0.7238,0.7228,0.7228,0.7231,0.723,0.722,0.722,0.7228,0.7228,0.7217,0.7217,0.7284,0.7283,0.7276,0.7276,0.728,0.7279,0.7273,0.7272,0.7264,0.7263,0.7256,0.7255,0.7299,0.7299,0.7288,0.7279,0.7292,0.7292,0.7282,0.7272,0.7276,0.7276,0.7266,0.7257,0.727,0.727,0.726,0.7258,0.7258,0.7259,0.7252,0.7254,0.7247,0.7249,0.724,0.7242
msr_web_2.oracleGeneral.zst_5175368,0.8701,0.8704,0.8709,0.8722,0.8702,0.8742,0.8737,0.8721,0.8702,0.8791,0.8782,0.8721,0.8747,0.8755,0.8761,0.8774,0.8747,0.8796,0.8789,0.877,0.8747,0.8749,0.8758,0.8753,0.8817,0.8818,0.882,0.8815,0.8823,0.8834,0.8836,0.8828,0.8823,0.8834,0.8836,0.8828,0.8882,0.8882,0.8884,0.8879,0.8886,0.8899,0.8909,0.8896,0.8886,0.8889,0.8909,0.889
msr_hm_0.oracleGeneral.zst_3993316,0.2957,0.2892,0.286,0.2935,0.2954,0.2893,0.2859,0.2934,0.2948,0.2891,0.2859,0.2934,0.2952,0.2896,0.2866,0.2938,0.2947,0.2896,0.2865,0.2937,0.294,0.2895,0.2865,0.2936,0.2941,0.2895,0.2903,0.2953,0.2939,0.2894,0.2903,0.2953,0.2936,0.2894,0.2904,0.2955,0.2933,0.2898,0.2916,0.2964,0.2933,0.2898,0.2915,0.2963,0.2929,0.2897,0.2916,0.2963
msr_proj_2.oracleGeneral.zst_29266482,0.8693,0.8638,0.8498,0.8443,0.8659,0.8614,0.8474,0.8433,0.8656,0.859,0.8462,0.8457,0.8573,0.8509,0.8366,0.8339,0.8549,0.8495,0.8359,0.8334,0.8533,0.848,0.835,0.8327,0.8481,0.8419,0.8283,0.829,0.8462,0.8408,0.8275,0.8285,0.8449,0.8392,0.8271,0.8284,0.8417,0.8345,0.822,0.8262,0.8405,0.8336,0.8214,0.8259,0.8382,0.8315,0.8237,0.826
msr_proj_1.oracleGeneral.zst_23639742,0.7183,0.7162,0.7141,0.7112,0.718,0.7157,0.7138,0.711,0.7168,0.7148,0.7135,0.7109,0.7132,0.7095,0.708,0.7049,0.713,0.7093,0.7076,0.7046,0.712,0.7084,0.7062,0.7043,0.7047,0.7012,0.698,0.6948,0.7039,0.7005,0.6976,0.6943,0.7021,0.6991,0.6966,0.6942,0.6931,0.6925,0.6906,0.689,0.6929,0.6922,0.6903,0.6886,0.6925,0.6918,0.6901,0.6886
msr_src1_0.oracleGeneral.zst_37415613,0.7652,0.7661,0.7729,0.8523,0.7683,0.7661,0.7736,0.8529,0.7688,0.7717,0.7734,0.8454,0.7703,0.7716,0.7794,0.8638,0.7707,0.7746,0.7797,0.8638,0.7742,0.774,0.775,0.8641,0.7781,0.7786,0.787,0.8707,0.7784,0.7781,0.7868,0.8698,0.7782,0.7806,0.7875,0.8719,0.7837,0.7852,0.7947,0.8782,0.7856,0.7852,0.7946,0.8776,0.7843,0.786,0.7944,0.8779
