#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
w91.oracleGeneral.bin.zst_4316605,0.3777,0.3744,0.3807,0.3971,0.3771,0.3745,0.3809,0.3971,0.3778,0.3745,0.3809,0.3971,0.3766,0.3752,0.3813,0.3965,0.3765,0.3753,0.3815,0.3967,0.3775,0.3756,0.3817,0.3964,0.3797,0.3775,0.3819,0.3939,0.3793,0.3775,0.3819,0.3939,0.3788,0.374,0.3819,0.3939,0.3798,0.3776,0.3851,0.3968,0.3794,0.3775,0.3851,0.3968,0.3761,0.3764,0.3851,0.3969
w85.oracleGeneral.bin.zst_4790048,0.7323,0.7275,0.7255,0.7235,0.7295,0.7258,0.7241,0.7226,0.7265,0.7229,0.7216,0.7205,0.7319,0.7278,0.726,0.7241,0.7291,0.726,0.7248,0.7228,0.7272,0.7249,0.7236,0.7227,0.7319,0.729,0.7273,0.7262,0.7302,0.7284,0.7276,0.726,0.7296,0.7272,0.7267,0.7261,0.733,0.7324,0.7317,0.7308,0.7329,0.7325,0.7312,0.7301,0.7332,0.732,0.7309,0.7302
w87.oracleGeneral.bin.zst_3788806,0.6845,0.6837,0.6781,0.6761,0.6844,0.6834,0.678,0.6758,0.6833,0.6824,0.6773,0.6759,0.6851,0.6837,0.6796,0.6786,0.684,0.6826,0.6791,0.6784,0.684,0.6825,0.6792,0.6785,0.6849,0.6821,0.6817,0.6802,0.6844,0.6816,0.6816,0.6802,0.6839,0.6812,0.6813,0.6801,0.6861,0.6844,0.6838,0.682,0.6854,0.6843,0.6837,0.6819,0.6851,0.6841,0.6836,0.6818
w106.oracleGeneral.bin.zst_3275919,0.1794,0.1784,0.1819,0.1826,0.1795,0.1785,0.182,0.1827,0.1796,0.1787,0.182,0.1828,0.1784,0.1784,0.182,0.1829,0.1785,0.1785,0.1821,0.183,0.1786,0.1786,0.1822,0.1831,0.1801,0.1801,0.1835,0.1845,0.1801,0.1802,0.1835,0.1846,0.1803,0.1803,0.1836,0.1846,0.1817,0.1821,0.1848,0.1856,0.1818,0.1823,0.1848,0.1856,0.1818,0.1822,0.1841,0.1843
w16.oracleGeneral.bin.zst_26702188,0.7239,0.7226,0.7111,0.6888,0.7226,0.7214,0.7109,0.6905,0.7198,0.7195,0.7106,0.691,0.7233,0.7216,0.7107,0.6891,0.7218,0.7205,0.7105,0.6893,0.7192,0.7191,0.7104,0.6901,0.7225,0.7205,0.7103,0.69,0.7208,0.7194,0.71,0.6902,0.7192,0.7188,0.7105,0.69,0.7225,0.7198,0.7107,0.6943,0.721,0.7191,0.7104,0.6944,0.7196,0.7182,0.7109,0.6946
w20.oracleGeneral.bin.zst_29842317,0.632,0.6302,0.6223,0.5996,0.6287,0.6275,0.6219,0.5998,0.6253,0.6235,0.6216,0.6001,0.6354,0.6326,0.6236,0.6035,0.6324,0.6296,0.6234,0.6039,0.6287,0.626,0.6234,0.6041,0.6354,0.6328,0.6226,0.6081,0.6325,0.6301,0.6226,0.6087,0.6309,0.6282,0.6226,0.6085,0.6368,0.6341,0.6225,0.6101,0.6353,0.6328,0.6224,0.611,0.6345,0.6319,0.6221,0.612
w61.oracleGeneral.bin.zst_9884691,0.5845,0.5828,0.585,0.5851,0.5828,0.5808,0.5823,0.5815,0.582,0.5798,0.5805,0.5788,0.546,0.5461,0.548,0.5491,0.5451,0.545,0.547,0.5478,0.5444,0.5444,0.5462,0.5472,0.5321,0.5328,0.5358,0.5381,0.5315,0.5325,0.5353,0.5375,0.5309,0.5319,0.5349,0.5406,0.5292,0.5299,0.5325,0.5347,0.5287,0.5295,0.5322,0.5342,0.528,0.5288,0.533,0.5346
w92.oracleGeneral.bin.zst_4284658,0.7633,0.7632,0.7628,0.7623,0.7629,0.7631,0.7629,0.7624,0.7628,0.7628,0.7627,0.7625,0.7645,0.7642,0.7638,0.7633,0.7645,0.7643,0.764,0.7636,0.7639,0.7641,0.7638,0.7643,0.7676,0.7675,0.7673,0.7667,0.7675,0.7676,0.7673,0.7669,0.767,0.7668,0.7669,0.767,0.7711,0.771,0.7706,0.7701,0.7712,0.7711,0.7708,0.7704,0.7704,0.7704,0.7707,0.7703
w103.oracleGeneral.bin.zst_3442094,0.2475,0.2489,0.2528,0.2599,0.2475,0.2489,0.2528,0.2598,0.2474,0.2489,0.2528,0.2596,0.2455,0.247,0.2509,0.2565,0.2455,0.2469,0.2508,0.2563,0.2455,0.2469,0.2507,0.2561,0.2433,0.2449,0.2488,0.2535,0.2429,0.245,0.2489,0.2534,0.2428,0.245,0.2488,0.2534,0.244,0.245,0.2491,0.2527,0.2439,0.245,0.2491,0.2527,0.2439,0.2451,0.2486,0.2525
w24.oracleGeneral.bin.zst_27165370,0.4603,0.4554,0.4571,0.4731,0.4599,0.4555,0.4572,0.473,0.459,0.456,0.4573,0.4729,0.4563,0.4542,0.4556,0.4718,0.456,0.4543,0.4559,0.4716,0.455,0.4545,0.4564,0.4716,0.4531,0.4528,0.4544,0.4714,0.4532,0.4527,0.4545,0.4714,0.4528,0.4526,0.455,0.4712,0.4552,0.4551,0.4559,0.4727,0.4551,0.4551,0.4559,0.4726,0.4548,0.4551,0.4558,0.4724
