#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.7516,0.7435,0.7363,0.7312,0.7511,0.7433,0.7363,0.7312,0.7518,0.7446,0.7371,0.7324,0.7461,0.7406,0.7343,0.7296,0.7454,0.7401,0.7342,0.7296,0.7461,0.7411,0.7345,0.7303,0.7438,0.7395,0.7329,0.7293,0.7427,0.7388,0.7328,0.7293,0.7441,0.7399,0.7338,0.7301,0.7424,0.7392,0.7328,0.7297,0.7418,0.7385,0.7327,0.7296,0.7432,0.7389,0.7337,0.7303
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.5061,0.4922,0.4831,0.4763,0.5044,0.4925,0.4853,0.4762,0.5046,0.4951,0.4868,0.4774,0.4998,0.4884,0.4811,0.474,0.4986,0.489,0.4819,0.4743,0.4988,0.4909,0.4837,0.4763,0.4969,0.4873,0.4798,0.4741,0.4963,0.4877,0.4809,0.4741,0.4971,0.4901,0.4825,0.4755,0.494,0.4868,0.4798,0.475,0.4936,0.4874,0.4805,0.475,0.496,0.4903,0.4825,0.4763
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.7634,0.7597,0.7565,0.7566,0.7628,0.7593,0.7566,0.7556,0.7645,0.7593,0.7566,0.7546,0.7631,0.7596,0.7569,0.7569,0.7647,0.7598,0.7573,0.7561,0.7644,0.7604,0.7569,0.755,0.7637,0.7599,0.7575,0.7573,0.763,0.7604,0.7577,0.7563,0.7631,0.76,0.7575,0.7561,0.7627,0.7604,0.7577,0.758,0.7625,0.7605,0.758,0.7573,0.7639,0.7604,0.7577,0.7569
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.5609,0.5524,0.5504,0.55,0.5612,0.554,0.5522,0.5517,0.5631,0.5558,0.5538,0.5533,0.5542,0.549,0.5472,0.5468,0.5554,0.5503,0.5491,0.5486,0.5574,0.5532,0.5515,0.551,0.5516,0.5484,0.5468,0.5466,0.5524,0.5496,0.5481,0.5476,0.5551,0.5518,0.5503,0.5496,0.5511,0.5487,0.5475,0.5472,0.5525,0.5503,0.5491,0.5487,0.5545,0.5523,0.5508,0.5593
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.2874,0.2819,0.2645,0.2642,0.2872,0.2832,0.2654,0.2642,0.2892,0.2858,0.2702,0.2658,0.2851,0.2781,0.2632,0.2631,0.2839,0.2795,0.264,0.2637,0.2854,0.2812,0.2685,0.2659,0.2837,0.2756,0.2625,0.2626,0.2825,0.2763,0.263,0.2634,0.2814,0.2778,0.2683,0.265,0.2832,0.273,0.263,0.2635,0.2819,0.2729,0.2636,0.264,0.2814,0.2778,0.2686,0.265
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.7134,0.6808,0.6688,0.6688,0.7055,0.6694,0.6674,0.6692,0.6965,0.6701,0.6677,0.6676,0.7247,0.6796,0.6691,0.6698,0.7045,0.6689,0.6686,0.6685,0.7047,0.6701,0.6683,0.6679,0.7192,0.6767,0.6711,0.672,0.6935,0.6716,0.6699,0.6696,0.6801,0.6704,0.669,0.6689,0.7109,0.6793,0.6763,0.6757,0.6919,0.6734,0.6727,0.6739,0.6833,0.6714,0.6708,0.6719
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.6785,0.6744,0.6715,0.6707,0.6787,0.6745,0.6724,0.6716,0.68,0.6756,0.6737,0.6726,0.6753,0.6721,0.6699,0.6691,0.6756,0.6728,0.6707,0.6697,0.6774,0.6744,0.6726,0.6713,0.674,0.6713,0.6695,0.669,0.6742,0.6722,0.6702,0.6695,0.6756,0.6734,0.672,0.671,0.673,0.6713,0.6699,0.6693,0.6738,0.6721,0.6708,0.67,0.6759,0.6736,0.6725,0.6711
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.831,0.8267,0.824,0.8218,0.8278,0.8261,0.8239,0.8221,0.8275,0.8259,0.8241,0.8222,0.8293,0.8262,0.8234,0.8213,0.8299,0.8267,0.8235,0.8218,0.8296,0.826,0.8237,0.8216,0.8274,0.8243,0.8214,0.8203,0.8274,0.824,0.8217,0.8208,0.827,0.8241,0.822,0.8214,0.8272,0.8243,0.8215,0.8204,0.8267,0.824,0.8217,0.8206,0.8268,0.8243,0.8226,0.8212
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.7889,0.7741,0.7554,0.7683,0.788,0.7735,0.7558,0.7681,0.7897,0.7756,0.7568,0.7669,0.7899,0.7763,0.7601,0.7756,0.7892,0.7757,0.7601,0.7752,0.7933,0.779,0.761,0.773,0.7912,0.7786,0.7662,0.7848,0.7927,0.7784,0.7663,0.7846,0.796,0.7846,0.7675,0.7812,0.7935,0.7817,0.7725,0.793,0.7945,0.782,0.7722,0.7911,0.8005,0.7882,0.7741,0.7872
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.8584,0.8561,0.8548,0.8542,0.8587,0.8562,0.8548,0.8542,0.859,0.8564,0.8551,0.8543,0.8576,0.856,0.8547,0.8541,0.8583,0.856,0.8549,0.8542,0.8587,0.8565,0.8553,0.8545,0.8572,0.856,0.8547,0.8541,0.8576,0.8561,0.8548,0.8541,0.8581,0.8562,0.8552,0.8543,0.8567,0.8554,0.8548,0.8541,0.8567,0.8551,0.8548,0.8541,0.8575,0.8564,0.8552,0.8544
