#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
msr_proj_4.oracleGeneral.zst_6465639,0.9781,0.9774,0.9771,0.9754,0.9783,0.9777,0.9772,0.9753,0.9791,0.9783,0.9779,0.9767,0.9783,0.9776,0.9774,0.9755,0.9785,0.9777,0.9779,0.9771,0.9789,0.9781,0.9781,0.9771,0.978,0.9777,0.9775,0.9751,0.9783,0.9778,0.9776,0.9773,0.9785,0.978,0.9778,0.9772,0.9782,0.9777,0.9773,0.9751,0.9786,0.9778,0.9776,0.9773,0.9785,0.9778,0.9778,0.9771
msr_prxy_1.oracleGeneral.zst_168638964,0.6152,0.6184,0.6226,0.6353,0.6155,0.6186,0.6226,0.6354,0.6159,0.6189,0.6228,0.6359,0.61,0.6122,0.6159,0.6242,0.6103,0.6123,0.6161,0.6244,0.6105,0.6126,0.6164,0.6246,0.6184,0.6199,0.6232,0.6318,0.6186,0.6201,0.6234,0.6321,0.6188,0.6204,0.6236,0.6323,0.6257,0.6273,0.6306,0.6395,0.626,0.6274,0.6309,0.6398,0.6262,0.6277,0.6311,0.64
msr_prn_0.oracleGeneral.zst_5585886,0.3626,0.3553,0.3538,0.3534,0.3603,0.3539,0.3525,0.3519,0.3591,0.3533,0.3517,0.3512,0.3543,0.3474,0.346,0.3452,0.3518,0.3466,0.3451,0.3444,0.3508,0.3462,0.3448,0.3443,0.3461,0.3437,0.3424,0.3418,0.3456,0.3433,0.342,0.3415,0.3453,0.3431,0.3419,0.3414,0.3438,0.3425,0.3412,0.3408,0.3435,0.3422,0.341,0.3407,0.3433,0.3421,0.3408,0.3406
msr_usr_1.oracleGeneral.zst_45283980,0.7381,0.5182,0.5187,0.5182,0.6741,0.5751,0.5903,0.5852,0.5594,0.5738,0.5981,0.6412,0.727,0.5145,0.5143,0.5133,0.539,0.5431,0.5798,0.6181,0.5283,0.5262,0.5575,0.5645,0.5655,0.5533,0.5623,0.6079,0.5371,0.5385,0.5583,0.6281,0.5238,0.5308,0.5735,0.6152,0.5647,0.5516,0.5627,0.5734,0.5319,0.5353,0.569,0.5811,0.5247,0.533,0.5336,0.6398
msr_usr_2.oracleGeneral.zst_10570046,0.8397,0.8397,0.8397,0.8406,0.8396,0.8396,0.8396,0.8405,0.8397,0.8396,0.8396,0.8404,0.8373,0.8371,0.8374,0.838,0.8372,0.837,0.8373,0.8379,0.8371,0.837,0.8372,0.8379,0.8358,0.8358,0.8359,0.8366,0.8357,0.8357,0.8358,0.8364,0.8356,0.8357,0.8358,0.8364,0.8345,0.8348,0.8348,0.8354,0.8343,0.8347,0.8347,0.8353,0.8343,0.8347,0.8347,0.8354
msr_web_2.oracleGeneral.zst_5175368,0.9925,0.9925,0.9925,0.9925,0.9926,0.9926,0.9926,0.9926,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9929,0.9929,0.993,0.993,0.993,0.993,0.9929,0.993,0.993,0.993,0.993,0.993,0.9932,0.9932,0.9931,0.9932,0.9931,0.9932,0.9931,0.9932
msr_hm_0.oracleGeneral.zst_3993316,0.4656,0.4564,0.4541,0.4531,0.465,0.4563,0.454,0.453,0.4605,0.4562,0.454,0.4529,0.4594,0.4524,0.4504,0.4496,0.4574,0.4523,0.4504,0.4495,0.4546,0.4521,0.4504,0.4494,0.4535,0.4515,0.4497,0.4495,0.4533,0.4514,0.4497,0.4494,0.453,0.4512,0.4496,0.4493,0.453,0.4513,0.4497,0.4501,0.4527,0.4512,0.4497,0.4501,0.4524,0.451,0.4497,0.4499
msr_proj_2.oracleGeneral.zst_29266482,0.9709,0.97,0.9559,0.9549,0.9703,0.9692,0.955,0.9509,0.9699,0.9688,0.956,0.9517,0.9701,0.9584,0.9552,0.9527,0.9692,0.9578,0.9543,0.9503,0.9685,0.958,0.9549,0.9485,0.97,0.9589,0.9549,0.9535,0.9689,0.9581,0.9546,0.9492,0.9682,0.9579,0.9551,0.9489,0.9698,0.9584,0.9548,0.9544,0.969,0.9574,0.9548,0.95,0.9683,0.9574,0.9548,0.9497
msr_proj_1.oracleGeneral.zst_23639742,0.9315,0.9309,0.9292,0.9303,0.931,0.9304,0.9287,0.9297,0.9309,0.9303,0.9286,0.9295,0.9148,0.9139,0.9122,0.9137,0.9142,0.9134,0.9118,0.9132,0.9142,0.9134,0.9117,0.9132,0.9042,0.9033,0.9013,0.9034,0.904,0.9031,0.9013,0.9033,0.904,0.9032,0.9015,0.9034,0.9005,0.8992,0.898,0.9001,0.9004,0.8992,0.8981,0.9001,0.9005,0.8993,0.8983,0.9
msr_src1_0.oracleGeneral.zst_37415613,0.9853,0.9843,0.9835,0.9817,0.9852,0.9842,0.9835,0.9817,0.9851,0.9842,0.9834,0.9816,0.9843,0.9833,0.9825,0.9807,0.9842,0.9832,0.9824,0.9806,0.9841,0.9831,0.9824,0.9806,0.9828,0.9819,0.9811,0.9793,0.9827,0.9818,0.981,0.9793,0.9826,0.9817,0.9809,0.9793,0.9812,0.9805,0.9796,0.978,0.9811,0.9804,0.9795,0.978,0.981,0.9803,0.9794,0.9779
msr_prn_1.oracleGeneral.zst_11233411,0.8026,0.7998,0.798,0.7973,0.8009,0.7981,0.7962,0.7955,0.8,0.7973,0.7955,0.7947,0.7826,0.7793,0.7769,0.7758,0.7813,0.7781,0.7758,0.7747,0.7806,0.7774,0.7751,0.7741,0.7698,0.7666,0.7643,0.7632,0.7688,0.7657,0.7635,0.7624,0.7681,0.7651,0.7629,0.7619,0.7618,0.7589,0.7569,0.7559,0.7611,0.7582,0.7562,0.7553,0.7604,0.7577,0.7558,0.7549
msr_proj_0.oracleGeneral.zst_4224524,0.6439,0.6078,0.6011,0.6183,0.6326,0.6104,0.6001,0.6169,0.6377,0.6121,0.6019,0.6068,0.6301,0.6069,0.6042,0.622,0.6247,0.6086,0.6033,0.6207,0.622,0.6091,0.6019,0.6107,0.6254,0.6085,0.6097,0.6277,0.6224,0.608,0.6079,0.6273,0.6223,0.6096,0.6035,0.6205,0.6215,0.6105,0.6154,0.6348,0.6222,0.6129,0.6079,0.6341,0.6197,0.6122,0.6065,0.6264
