#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
io_traces.ns351.oracleGeneral.zst,111149056,0.6895,0.3134,0.6849,0.5441,0.7023,0.6897,0.5587,0.746,0.8173,0.7012,0.8183,0.6411,0.5579,0.707,0.694,0.5875,0.5876,0.7805,0.6231,0.4759,0.5083
io_traces.ns561.oracleGeneral.zst,53477376,0.6553,0.5094,0.5893,0.6173,0.8087,0.8247,0.7589,0.7633,0.7761,0.8018,0.8023,0.7644,0.5981,0.812,0.8109,0.5957,0.594,0.7056,0.6411,0.6082,0.5968
io_traces.ns381.oracleGeneral.zst,25165824,0.6039,0.5394,0.6045,0.6062,0.6311,0.6433,0.6315,0.6286,0.6198,0.6312,0.6344,0.6351,0.6109,0.6325,0.6119,0.6015,0.6052,0.612,0.6116,0.6182,0.5955
io_traces.ns455.oracleGeneral.zst,1073741824,0.323,0.2303,0.3205,0.3212,0.3614,0.4079,0.3998,0.468,0.4902,0.3982,0.71,0.5226,0.3153,0.3692,0.3584,0.3123,0.3151,0.3432,0.3187,0.3315,0.3215
io_traces.ns132.oracleGeneral.zst,15032385536,0.7532,0.5391,0.7377,0.7422,0.7728,0.7967,0.754,0.7611,0.7845,0.7681,0.711,0.7692,0.697,0.7914,0.6924,0.6856,0.6681,0.6853,0.6755,0.6738,0.6746
io_traces.ns265.oracleGeneral.zst,1029701632,0.3606,0.215,0.3608,0.3592,0.4229,0.47,0.4569,0.516,0.55,0.4524,0.499,0.4837,0.3673,0.4329,0.4031,0.3769,0.3785,0.4153,0.3922,0.3646,0.3848
io_traces.ns702.oracleGeneral.zst,54525952,0.6699,0.4998,0.6458,0.5961,0.7983,0.8144,0.7546,0.7567,0.7737,0.7921,0.7734,0.7612,0.5862,0.8018,0.7987,0.5789,0.5771,0.6868,0.6166,0.5966,0.584
io_traces.ns680.oracleGeneral.zst,33554432,0.5668,0.4633,0.5669,0.5651,0.5937,0.6104,0.5858,0.5908,0.5808,0.5914,0.5943,0.5872,0.5717,0.5952,0.5723,0.5652,0.5673,0.5738,0.57,0.5755,0.5569
io_traces.ns154.oracleGeneral.zst,371195904,0.2652,0.1654,0.2644,0.2567,0.2679,0.2939,0.3024,0.3227,0.3138,0.2916,0.4012,0.2983,0.25,0.2695,0.2672,0.2486,0.2488,0.2575,0.2463,0.2416,0.2493
io_traces.ns433.oracleGeneral.zst,88080384,0.3131,0.2163,0.3133,0.3052,0.3195,0.3406,0.3187,0.3322,0.3275,0.3157,0.623,0.3612,0.2983,0.323,0.3115,0.3012,0.3014,0.3114,0.3141,0.3124,0.3035
io_traces.ns599.oracleGeneral.zst,75497472,0.5777,0.3876,0.5754,0.5324,0.6174,0.6374,0.6069,0.6499,0.6471,0.6137,0.6917,0.6457,0.5224,0.6199,0.6012,0.5548,0.5574,0.6303,0.5982,0.601,0.5356
io_traces.ns62.oracleGeneral.zst,441450496,0.2962,0.1914,0.3041,0.303,0.3205,0.3368,0.3472,0.3605,0.3701,0.3471,0.4451,0.3209,0.2926,0.3207,0.3189,0.2977,0.2974,0.3143,0.2985,0.2957,0.299
io_traces.ns203.oracleGeneral.zst,197132288,0.2538,0.1708,0.2534,0.2479,0.2611,0.3279,0.3322,0.4928,0.504,0.2767,0.5441,0.4384,0.2477,0.2653,0.2576,0.2412,0.239,0.272,0.2421,0.2571,0.2435
io_traces.ns184.oracleGeneral.zst,921698304,0.7648,0.7498,0.7648,0.763,0.8619,0.889,0.797,0.7506,0.7731,0.8672,0.7652,0.797,0.7575,0.8709,0.843,0.7589,0.7695,0.7652,0.7757,0.7568,0.7611
io_traces.ns650.oracleGeneral.zst,67108864,0.6511,0.4549,0.6527,0.6572,0.6894,0.7168,0.6803,0.6986,0.6766,0.6865,0.7676,0.6945,0.6308,0.6957,0.6531,0.6474,0.6556,0.6516,0.6596,0.6356,0.6465
io_traces.ns337.oracleGeneral.zst,30408704,0.6095,0.496,0.6116,0.6065,0.6146,0.6191,0.6159,0.6183,0.6012,0.6118,0.6488,0.6317,0.6232,0.6154,0.6095,0.6006,0.6002,0.6036,0.6023,0.6059,0.5987
io_traces.ns507.oracleGeneral.zst,13958643712,0.7246,0.7006,0.7246,0.7249,0.7278,0.7286,0.727,0.7256,0.7269,0.7275,0.7257,0.7265,0.7234,0.7279,0.7279,0.7249,0.7255,0.7257,0.7268,0.7236,0.7229
io_traces.ns198.oracleGeneral.zst,10737418240,0.7062,0.6279,0.7062,0.7045,0.7148,0.7231,0.7067,0.7076,0.7204,0.714,0.7063,0.7271,0.6958,0.7155,0.7094,0.7051,0.7069,0.7063,0.7113,0.7117,0.699
io_traces.ns602.oracleGeneral.zst,24117248,0.7478,0.625,0.7473,0.7361,0.753,0.7655,0.7537,0.7513,0.7336,0.7494,0.7942,0.7505,0.7375,0.7543,0.7444,0.7306,0.7313,0.7356,0.7345,0.718,0.7223
io_traces.ns801.oracleGeneral.zst,16106127360,0.9984,0.9748,0.9984,0.9846,0.9986,0.9988,0.9987,0.9969,0.9975,0.9985,0.9984,0.9972,0.9828,0.9986,0.9986,0.9979,0.998,0.9984,0.9982,0.986,0.9846
