#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
w70.oracleGeneral.bin.zst_6928385,3292000000.0,0.3061,0.2907,0.2822,0.2902,0.3403,0.29,0.2793,0.2693,0.2834,0.2745,0.3167,0.2033,0.2799,0.2865,0.2904,0.2722,0.2685,0.2814,0.4043,0.3126,0.2839,0.2723
w94.oracleGeneral.bin.zst_4118188,5000000000.0,0.6216,0.646,0.5478,0.6396,0.6451,0.5906,0.5306,0.5621,0.6239,0.6134,0.5453,0.3933,0.6396,0.5175,0.5989,0.5229,0.5299,0.6426,0.6086,0.6374,0.6313,0.5159
w105.oracleGeneral.bin.zst_3375344,1769000000.0,0.9177,0.8452,0.86,0.8535,0.9003,0.8974,0.8889,0.8457,0.9153,0.915,0.847,0.7128,0.9137,0.8451,0.9149,0.8531,0.8481,0.9156,0.8905,0.8955,0.8905,0.8499
w35.oracleGeneral.bin.zst_15415663,5000000000.0,0.3685,0.3292,0.3318,0.3292,0.4149,0.3419,0.3361,0.3327,0.3478,0.3421,0.3346,0.2362,0.3424,0.3303,0.3498,0.33,0.328,0.3456,0.3626,0.3557,0.3383,0.3293
w19.oracleGeneral.bin.zst_31116216,3000000000.0,0.236,0.1631,0.1651,0.1617,0.2981,0.2016,0.1611,0.1699,0.1788,0.1652,0.1868,0.1139,0.1686,0.164,0.2228,0.1621,0.1609,0.1767,0.473,0.3732,0.2983,0.1682
w75.oracleGeneral.bin.zst_6152624,1920000000.0,0.2099,0.1676,0.17,0.1668,0.2975,0.1871,0.1703,0.1637,0.1765,0.1693,0.1704,0.1243,0.1743,0.1693,0.1932,0.163,0.163,0.1783,0.236,0.2259,0.1748,0.1653
w50.oracleGeneral.bin.zst_13448032,4000000000.0,0.5838,0.5101,0.4417,0.5059,0.5085,0.4852,0.4823,0.4667,0.5474,0.5089,0.4476,0.4233,0.5376,0.4404,0.5859,0.4635,0.4526,0.5457,0.457,0.5527,0.457,0.4447
w97.oracleGeneral.bin.zst_3768450,5000000000.0,0.8776,0.8234,0.8191,0.8238,0.869,0.8573,0.8512,0.8326,0.8633,0.8532,0.7952,0.6837,0.8629,0.7975,0.8369,0.8355,0.8186,0.868,0.827,0.8509,0.827,0.7976
w83.oracleGeneral.bin.zst_3880481,2026000000.0,0.6856,0.6689,0.6792,0.6699,0.732,0.7035,0.6821,0.6805,0.6957,0.6836,0.6924,0.6261,0.6872,0.672,0.7609,0.6768,0.6694,0.6854,0.6915,0.7151,0.6915,0.6665
w81.oracleGeneral.bin.zst_5026619,1962000000.0,0.8978,0.8748,0.8756,0.8748,0.8577,0.8816,0.897,0.8467,0.8965,0.8973,0.8327,0.8137,0.8975,0.8253,0.8978,0.8886,0.8755,0.8977,0.8757,0.8622,0.8757,0.8317
w63.oracleGeneral.bin.zst_9380316,5000000000.0,0.4683,0.4142,0.417,0.4196,0.474,0.4429,0.4331,0.4102,0.4399,0.4308,0.4051,0.3458,0.4426,0.4096,0.4562,0.4139,0.4049,0.4519,0.4076,0.4463,0.4076,0.4056
w86.oracleGeneral.bin.zst_4749563,8000000000.0,0.9645,0.9386,0.924,0.9386,0.9618,0.961,0.9401,0.9383,0.9594,0.964,0.9294,0.8911,0.9634,0.9312,0.9536,0.9373,0.9334,0.964,0.9387,0.9591,0.9387,0.9262
w60.oracleGeneral.bin.zst_9898835,3357000000.0,0.6639,0.5828,0.5866,0.5788,0.7062,0.6886,0.6072,0.5934,0.6439,0.6447,0.6225,0.4699,0.6444,0.5878,0.6605,0.5829,0.5772,0.6495,0.6338,0.6462,0.6189,0.5769
w30.oracleGeneral.bin.zst_21390010,2907000000.0,0.1952,0.1692,0.1687,0.169,0.3854,0.298,0.1697,0.1564,0.1874,0.1562,0.2075,0.094,0.1575,0.1678,0.206,0.1626,0.159,0.1586,0.7508,0.2853,0.6146,0.1725
w102.oracleGeneral.bin.zst_3558215,784000000.0,0.3575,0.3155,0.3214,0.3235,0.4442,0.3587,0.3033,0.3131,0.3492,0.3408,0.3186,0.2098,0.3436,0.3134,0.3538,0.3085,0.3079,0.3423,0.5258,0.3639,0.3341,0.3103
w78.oracleGeneral.bin.zst_5493106,3000000000.0,0.4501,0.4616,0.439,0.4589,0.6225,0.469,0.4446,0.4398,0.4394,0.4344,0.528,0.3023,0.4308,0.4528,0.4663,0.4506,0.4446,0.4306,0.5892,0.5313,0.5418,0.451
