#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,70000.0,0.6574,0.6394,0.6393,0.6394,0.5522,0.6446,0.6445,0.5391,0.6444,0.6476,0.5017,0.4838,0.6475,0.4996,0.6281,0.6432,0.6393,0.648,0.6394,0.5905,0.6394,0.5061
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,763000.0,0.2642,0.2425,0.2369,0.2072,0.1964,0.2046,0.2065,0.391,0.2339,0.2266,0.2098,0.1108,0.2263,0.1517,0.2165,0.1694,0.1742,0.2617,0.2698,0.2214,0.2667,0.1787
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,2000000.0,0.4145,0.348,0.3605,0.3472,0.3591,0.343,0.3769,0.3496,0.3864,0.3654,0.3821,0.3027,0.3753,0.3558,0.3868,0.3599,0.3455,0.3854,0.3494,0.3621,0.3494,0.3434
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,858000.0,0.3516,0.24,0.2145,0.2311,0.2776,0.2578,0.2507,0.5896,0.3447,0.3172,0.2295,0.1863,0.3251,0.2145,0.3509,0.2264,0.2261,0.3412,0.3768,0.3468,0.3315,0.2212
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,307000.0,0.4837,0.3437,0.419,0.3324,0.4153,0.3922,0.3526,0.4701,0.5448,0.3877,0.2951,0.2637,0.4904,0.2929,0.4998,0.3166,0.3311,0.5098,0.5629,0.4209,0.5629,0.3005
fiu_casa-110108-112108.oracleGeneral.zst_8973201,628000.0,0.1276,0.0865,0.096,0.0858,0.105,0.0843,0.0885,0.0953,0.1273,0.0902,0.1101,0.0597,0.1008,0.0829,0.1113,0.0852,0.0822,0.1096,0.1331,0.1087,0.0901,0.0841
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,264000.0,0.4612,0.3675,0.3841,0.337,0.2635,0.2621,0.2719,0.3852,0.5882,0.2325,0.1749,0.1576,0.4894,0.1891,0.3818,0.2419,0.2487,0.4544,0.4994,0.3366,0.4994,0.2758
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,11000000000.0,0.0862,0.0674,0.0641,0.0665,0.0788,0.0671,0.0709,0.0656,0.0713,0.0718,0.2623,0.045,0.0712,0.0668,0.0856,0.0643,0.064,0.0724,0.1106,0.0743,0.0651,0.0647
fiu_madmax-110108-112108.oracleGeneral.zst_918010,130000.0,0.8377,0.8272,0.5641,0.8272,0.8313,0.8338,0.6751,0.6075,0.8246,0.8358,0.5392,0.4939,0.8353,0.5675,0.7284,0.6662,0.6654,0.8358,0.8272,0.6931,0.8272,0.5906
fiu_homes-110108-112108.oracleGeneral.zst_17836701,7000000.0,0.2772,0.2381,0.2408,0.2387,0.2441,0.2336,0.2601,0.2412,0.267,0.2515,0.2539,0.2141,0.2596,0.2436,0.2624,0.2437,0.2383,0.2606,0.2413,0.2488,0.2413,0.2362
