#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
msr_proj_2.oracleGeneral.zst_29266482,20000000000.0,0.9487,0.9385,0.939,0.9343,0.9711,0.9435,0.9447,0.941,0.9461,0.9449,0.9605,0.8573,0.9461,0.9425,0.9533,0.9379,0.9302,0.947,0.935,0.9519,0.935,0.9376
msr_proj_1.oracleGeneral.zst_23639742,21000000000.0,0.9304,0.9185,0.919,0.9185,0.945,0.9238,0.9301,0.922,0.9303,0.9208,0.9353,0.9033,0.9302,0.9276,0.9366,0.9213,0.9184,0.9303,0.9185,0.9337,0.9185,0.9238
msr_prxy_0.oracleGeneral.zst_12518968,62000000.0,0.3371,0.32,0.3143,0.3194,0.317,0.3185,0.3058,0.3199,0.3226,0.3206,0.3018,0.2188,0.3217,0.3105,0.3216,0.31,0.31,0.3222,0.3734,0.3308,0.3216,0.3089
msr_prxy_1.oracleGeneral.zst_168638964,471000000.0,0.0125,0.0077,0.0078,0.0077,0.0078,0.0078,0.0078,0.008,0.0086,0.0078,0.0077,0.0071,0.0083,0.0077,0.0094,0.0077,0.0076,0.0084,0.0159,0.0094,0.0078,0.0077
msr_prn_0.oracleGeneral.zst_5585886,628000000.0,0.5948,0.5627,0.5753,0.5622,0.6079,0.5781,0.5571,0.5561,0.5864,0.5771,0.564,0.4724,0.585,0.5717,0.6041,0.5503,0.5555,0.5875,0.6316,0.5945,0.5621,0.5572
msr_usr_1.oracleGeneral.zst_45283980,20000000000.0,0.5975,0.5767,0.5709,0.5769,0.5868,0.5842,0.5908,0.5634,0.5921,0.5966,0.5551,0.5241,0.5957,0.5583,0.5903,0.5706,0.5741,0.5974,0.5781,0.5824,0.5781,0.5668
msr_prn_1.oracleGeneral.zst_11233411,2000000000.0,0.7024,0.6939,0.6617,0.6824,0.7082,0.6623,0.6474,0.6626,0.6926,0.6832,0.6321,0.5447,0.6849,0.6585,0.6815,0.653,0.6675,0.6928,0.6777,0.6643,0.6685,0.6594
msr_proj_0.oracleGeneral.zst_4224524,335000000.0,0.5319,0.4684,0.4595,0.4642,0.5108,0.4915,0.4606,0.4718,0.4837,0.4842,0.4825,0.3224,0.4818,0.4574,0.509,0.4537,0.4523,0.4905,0.8621,0.7227,0.521,0.454
msr_src1_1.oracleGeneral.zst_45746222,5000000000.0,0.8962,0.9655,0.9142,0.9534,0.9667,0.9028,0.9162,0.9201,0.8987,0.8974,0.9475,0.7814,0.899,0.9754,0.9125,0.9356,0.9394,0.8971,0.9431,0.9448,0.9407,0.9384
msr_hm_0.oracleGeneral.zst_3993316,161000000.0,0.5938,0.5543,0.5704,0.5529,0.6286,0.5913,0.5622,0.5587,0.5794,0.5781,0.5491,0.4222,0.5795,0.5632,0.5919,0.5492,0.5483,0.5824,0.5968,0.6102,0.5695,0.5514
msr_src1_0.oracleGeneral.zst_37415613,4000000000.0,0.9872,0.9798,0.9773,0.9779,0.9791,0.9816,0.9685,0.9716,0.9868,0.9866,0.9643,0.9365,0.9866,0.9657,0.9876,0.9667,0.9668,0.987,0.9656,0.981,0.9656,0.9656
msr_web_2.oracleGeneral.zst_5175368,1000000000.0,0.9996,0.9992,0.9875,0.9992,0.9889,0.999,0.9995,0.9713,0.9996,0.9996,0.9678,0.9609,0.9996,0.9624,0.9992,0.9994,0.9992,0.9996,0.9993,0.9963,0.9993,0.9662
msr_proj_4.oracleGeneral.zst_6465639,3000000000.0,0.9411,0.8674,0.8614,0.8674,0.9169,0.9111,0.9375,0.862,0.9402,0.8855,0.8831,0.8388,0.9403,0.8764,0.952,0.9313,0.8809,0.9405,0.881,0.9418,0.881,0.874
msr_usr_2.oracleGeneral.zst_10570046,11000000000.0,0.9365,0.9157,0.9028,0.9157,0.9362,0.9335,0.9362,0.9092,0.9375,0.9361,0.9224,0.8831,0.9357,0.9085,0.9425,0.9304,0.9154,0.9361,0.9155,0.9361,0.9155,0.9073
