#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
msr_hm_0.oracleGeneral.zst,562036736,0.4506,0.2908,0.4499,0.4504,0.4659,0.4825,0.4951,0.4914,0.5015,0.4673,0.4809,0.5417,0.4547,0.4707,0.466,0.4461,0.4449,0.4635,0.4545,0.4401,0.4475
msr_src1_1.oracleGeneral.zst,19327352832,0.8531,0.6881,0.8495,0.855,0.8129,0.8048,0.8613,0.8464,0.8761,0.8292,0.8323,0.9056,0.9521,0.8067,0.8069,0.8767,0.8534,0.8452,0.8327,0.8821,0.8958
msr_proj_2.oracleGeneral.zst,71940702208,0.8905,0.722,0.8913,0.8912,0.9222,0.9246,0.9098,0.9193,0.9219,0.9223,0.8983,0.9192,0.9203,0.9246,0.9243,0.882,0.8951,0.8983,0.914,0.9594,0.9067
msr_src1_0.oracleGeneral.zst,16106127360,0.9413,0.8528,0.9395,0.9255,0.9707,0.9718,0.9706,0.9622,0.9389,0.9712,0.9026,0.9387,0.8868,0.9715,0.9691,0.8913,0.9095,0.9026,0.943,0.8967,0.8891
msr_proj_1.oracleGeneral.zst,75161927680,0.9161,0.9033,0.9161,0.9207,0.9268,0.9276,0.9249,0.9163,0.9279,0.9266,0.9161,0.9245,0.924,0.9273,0.9268,0.9156,0.9181,0.9161,0.9268,0.9218,0.9161
msr_prn_1.oracleGeneral.zst,8589934592,0.4814,0.4095,0.4671,0.4699,0.5387,0.5509,0.5623,0.5127,0.5223,0.5357,0.4829,0.5393,0.465,0.5497,0.5097,0.4619,0.4471,0.4713,0.4885,0.4524,0.4494
msr_proj_4.oracleGeneral.zst,12884901888,0.8475,0.8388,0.8475,0.8406,0.896,0.9155,0.9073,0.8772,0.909,0.9163,0.8577,0.8816,0.8394,0.9048,0.898,0.8475,0.8605,0.8577,0.8697,0.8405,0.8506
msr_proj_0.oracleGeneral.zst,1171259392,0.2929,0.178,0.2861,0.2766,0.2971,0.337,0.3192,0.3026,0.4949,0.3008,0.5282,0.3148,0.2828,0.3038,0.2964,0.2798,0.2824,0.3547,0.2965,0.312,0.2851
msr_web_2.oracleGeneral.zst,6442450944,0.9989,0.8726,0.9989,0.9945,0.9993,0.9993,0.985,0.9976,0.9767,0.9968,0.9989,0.9765,0.8765,0.9993,0.9993,0.998,0.9981,0.9989,0.9992,0.8892,0.8878
msr_prn_0.oracleGeneral.zst,2194669568,0.4812,0.3561,0.4903,0.4552,0.5124,0.5319,0.5299,0.4815,0.4819,0.5148,0.4901,0.5141,0.4316,0.5168,0.4995,0.4529,0.4467,0.4744,0.4635,0.4479,0.4427
msr_prxy_1.oracleGeneral.zst,1647312896,0.0072,0.0067,0.0072,0.0072,0.0073,0.0084,0.0078,0.0073,0.0075,0.0074,0.0072,0.0073,0.0074,0.0073,0.0073,0.0072,0.0072,0.0072,0.0074,0.0074,0.0073
msr_prxy_0.oracleGeneral.zst,218103808,0.2227,0.1187,0.2266,0.2151,0.2326,0.2412,0.2428,0.2411,0.2624,0.2364,0.3267,0.229,0.2156,0.2307,0.2294,0.2214,0.2191,0.2325,0.2119,0.1963,0.2219
msr_usr_1.oracleGeneral.zst,73014444032,0.4975,0.4552,0.4975,0.507,0.5231,0.5259,0.5416,0.5162,0.52,0.5312,0.4978,0.5394,0.5065,0.5233,0.5114,0.4973,0.5005,0.4978,0.5196,0.5675,0.5065
msr_usr_2.oracleGeneral.zst,41875931136,0.8973,0.8831,0.8973,0.8968,0.9119,0.9121,0.9226,0.9082,0.9168,0.9176,0.8974,0.9164,0.9049,0.912,0.9091,0.8972,0.9076,0.8974,0.9119,0.9408,0.9035
