#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
tencentBlock.ns1228.oracleGeneral.zst_3462771,4000000.0,0.5774,0.5592,0.5544,0.5578,0.6047,0.578,0.5537,0.5562,0.5676,0.5585,0.6663,0.5245,0.5648,0.6604,0.5645,0.5789,0.5784,0.5666,0.6166,0.5696,0.5535,0.5787
tencentBlock.ns10197.oracleGeneral.zst_2420450,10000000.0,0.8377,0.8114,0.8091,0.8119,0.8002,0.8107,0.8077,0.8048,0.8207,0.8123,0.8062,0.6327,0.8212,0.8013,0.8222,0.8069,0.8068,0.8251,0.8209,0.8317,0.8081,0.8062
tencentBlock.ns6930.oracleGeneral.zst_2231846,3000000.0,0.4723,0.3563,0.3622,0.3567,0.5692,0.5416,0.3575,0.3814,0.4143,0.3713,0.6178,0.3306,0.3847,0.5814,0.4619,0.364,0.3626,0.394,0.4589,0.5009,0.3667,0.3634
tencentBlock.ns4699.oracleGeneral.zst_1214346,1000000.0,0.3348,0.291,0.2888,0.2911,0.4337,0.3415,0.3049,0.3115,0.3089,0.295,0.5417,0.2765,0.2982,0.47,0.314,0.3184,0.3181,0.3006,0.4259,0.3368,0.2918,0.3183
tencentBlock.ns22008.oracleGeneral.zst_1365602,3000000.0,0.6866,0.6434,0.6367,0.6448,0.6781,0.6571,0.6307,0.6423,0.6556,0.649,0.6489,0.5694,0.6542,0.6619,0.656,0.6317,0.6314,0.6557,0.7159,0.6585,0.6355,0.6308
tencentBlock.ns18283.oracleGeneral.zst_3972912,13000000.0,0.4758,0.36,0.3789,0.3595,0.5529,0.4805,0.3489,0.3821,0.4232,0.3823,0.4419,0.3077,0.4133,0.4158,0.4241,0.3402,0.3399,0.4206,0.6707,0.4871,0.3591,0.3414
tencentBlock.ns7775.oracleGeneral.zst_4572411,35000000.0,0.813,0.7496,0.7566,0.7505,0.7795,0.7702,0.7569,0.7557,0.8024,0.7679,0.7543,0.6552,0.8,0.7471,0.7925,0.7487,0.749,0.8037,0.7976,0.7976,0.7602,0.7494
tencentBlock.ns17085.oracleGeneral.zst_1558553,5000000.0,0.6025,0.5486,0.554,0.547,0.6195,0.5982,0.5324,0.555,0.5729,0.5646,0.7806,0.4777,0.5701,0.6084,0.5723,0.5293,0.5373,0.5711,0.7331,0.5813,0.5526,0.5393
tencentBlock.ns11873.oracleGeneral.zst_1767385,2000000.0,0.9241,0.9108,0.9108,0.9108,0.9162,0.9174,0.9115,0.9103,0.9181,0.9117,0.9174,0.8639,0.9185,0.9158,0.917,0.903,0.9018,0.92,0.9166,0.9193,0.9114,0.9029
tencentBlock.ns6171.oracleGeneral.zst_4790952,25000000.0,0.9822,0.98,0.6025,0.9797,0.749,0.9624,0.9739,0.9366,0.9778,0.9812,0.9559,0.4882,0.9814,0.9536,0.9012,0.8847,0.8913,0.9816,0.9811,0.9658,0.9749,0.8781
