#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
cluster18.oracleGeneral.zst_13062209198,56000000.0,0.024,0.0197,0.0194,0.0194,0.0259,0.0148,0.0176,0.0177,0.0184,0.0154,0.0122,0.0067,0.0191,0.0161,0.02,0.0159,0.0159,0.0194,0.0469,0.0493,0.0145,0.0156
cluster5.oracleGeneral.zst_10458446348,13000000000.0,0.1514,0.1463,0.1473,0.146,0.1483,0.1456,0.1475,0.145,0.1454,0.1478,0.1484,0.1421,0.1484,0.1463,0.1463,0.1447,0.1457,0.1463,0.3718,0.1696,0.1476,0.1444
cluster4.oracleGeneral.zst_3448082328,2000000000.0,0.0202,0.0205,0.0199,0.0207,0.0193,0.0195,0.0193,0.0188,0.0192,0.0189,0.0219,0.0177,0.0191,0.0195,0.019,0.0188,0.0188,0.019,0.0456,0.019,0.0189,0.0188
cluster50.oracleGeneral.zst_139655585,8000000000.0,0.1697,0.1568,0.154,0.1589,0.1887,0.1424,0.1482,0.135,0.1426,0.1827,0.2072,0.0728,0.1371,0.1699,0.1576,0.1421,0.1381,0.138,0.3193,0.1793,0.174,0.1489
cluster27.oracleGeneral.zst_12060815269,6000000000.0,0.3028,0.2782,0.2568,0.275,0.3134,0.2328,0.2555,0.2542,0.2682,0.2586,0.2292,0.1305,0.2657,0.2518,0.2732,0.2383,0.2451,0.2638,0.3421,0.3255,0.247,0.2456
cluster21.oracleGeneral.zst_1550193320,7000000000.0,0.9385,0.937,0.9371,0.937,0.9374,0.937,0.9377,0.9369,0.9372,0.9375,0.9381,0.9361,0.9373,0.9368,0.9369,0.9372,0.9368,0.9375,0.937,0.9372,0.937,0.9367
cluster11.oracleGeneral.zst_2731402190,815000000.0,0.0838,0.0514,0.0471,0.0551,0.0845,0.072,0.0526,0.0536,0.0771,0.0487,0.0418,0.0215,0.0572,0.0475,0.089,0.0517,0.0514,0.0521,0.1299,0.1134,0.0476,0.0515
cluster26.oracleGeneral.zst_156594627,299000000.0,0.0667,0.0667,0.0665,0.0669,0.0666,0.0669,0.0666,0.0665,0.0665,0.0665,0.0668,0.0665,0.0665,0.0665,0.0667,0.0665,0.0665,0.0665,0.5414,0.0667,0.0665,0.0665
cluster16.oracleGeneral.zst_10791885322,121000000.0,0.0436,0.0348,0.0342,0.0351,0.0399,0.0447,0.031,0.0322,0.037,0.032,0.0285,0.0142,0.0342,0.0287,0.0385,0.0308,0.0309,0.0345,0.1224,0.0601,0.029,0.0313
cluster23.oracleGeneral.zst_5333543178,66000000000.0,0.417,0.4171,1.0,0.4179,0.4169,0.4169,0.4169,0.4169,0.4169,0.4169,0.417,0.4162,0.417,1.0,0.4169,0.4169,0.417,0.4169,0.8106,0.4168,0.417,0.417
cluster28.oracleGeneral.zst_5267932037,1000000000.0,0.0126,0.0109,0.0102,0.0106,0.0104,0.0107,0.0095,0.0097,0.0112,0.0098,0.0091,0.0058,0.0102,0.0096,0.0122,0.0088,0.009,0.01,0.0414,0.0129,0.0094,0.0089
cluster48.oracleGeneral.zst_1129939853,3000000000.0,0.4334,0.3956,0.3997,0.3915,0.4631,0.4079,0.3922,0.3932,0.4061,0.4023,0.4119,0.2681,0.4094,0.3804,0.4098,0.3779,0.3811,0.417,0.4565,0.4186,0.3959,0.3796
cluster41.oracleGeneral.zst_3214344864,2000000000.0,0.0034,0.0031,0.0032,0.0031,0.0031,0.0033,0.0032,0.0031,0.0031,0.0032,0.0056,0.003,0.0032,0.0031,0.0035,0.0031,0.0031,0.0031,0.028,0.0036,0.0032,0.0031
cluster51.oracleGeneral.zst_6322932555,73000000.0,0.0047,0.0029,0.003,0.003,0.003,0.0052,0.003,0.0028,0.0045,0.0029,0.003,0.0013,0.0029,0.0029,0.0039,0.0028,0.0027,0.0028,0.0967,0.01,0.0028,0.0029
cluster7.oracleGeneral.zst_1044513075,114000000.0,0.0747,0.0714,0.0711,0.0717,0.0756,0.0683,0.0501,0.0656,0.0661,0.074,0.0515,0.0277,0.0717,0.0717,0.0721,0.0569,0.0658,0.0714,0.1717,0.0702,0.0712,0.0549
cluster3.oracleGeneral.zst_820307312,88000000.0,0.0131,0.0117,0.0117,0.0117,0.013,0.0163,0.0116,0.01,0.0143,0.01,0.0154,0.0062,0.0103,0.0102,0.014,0.0098,0.0098,0.0102,0.1811,0.017,0.0099,0.0101
cluster46.oracleGeneral.zst_6610320613,9000000000.0,0.0375,0.0349,0.0355,0.0349,0.0352,0.0407,0.0354,0.0346,0.0349,0.0355,0.0353,0.0329,0.0356,0.0349,0.0413,0.0347,0.0348,0.0349,0.0886,0.0471,0.0354,0.0344
cluster30.oracleGeneral.zst_2554900851,156000000.0,0.0148,0.0099,0.0098,0.0099,0.011,0.0106,0.0108,0.0103,0.0114,0.0104,0.0106,0.0077,0.0107,0.0098,0.0123,0.0103,0.01,0.0109,0.0929,0.0119,0.0101,0.0108
cluster17.oracleGeneral.zst_9772999471,251000000.0,0.0087,0.0059,0.0055,0.006,0.0049,0.004,0.0056,0.0054,0.0052,0.0048,0.0039,0.0021,0.006,0.0048,0.0065,0.0048,0.0049,0.0059,0.0078,0.0119,0.0043,0.0048
cluster20.oracleGeneral.zst_3663259123,1000000000.0,0.0382,0.0272,1.0,0.0272,0.0318,0.0277,0.0307,0.0278,0.0292,0.0289,0.0278,0.0264,0.0295,0.0271,0.0302,0.028,0.0272,0.0311,0.0274,0.0305,0.0274,0.0271
cluster14.oracleGeneral.zst_3029143401,1000000000.0,0.0139,0.0116,0.0125,0.0113,0.0117,0.012,0.012,0.0112,0.0117,0.0118,0.0145,0.0091,0.0117,0.0114,0.013,0.0109,0.0111,0.0114,0.1021,0.0157,0.0114,0.0111
cluster52.oracleGeneral.zst_13426570607,4000000000.0,0.0489,0.044,0.0414,0.0434,0.0409,0.0416,0.0372,0.0386,0.0396,0.0388,0.0359,0.0227,0.0403,0.0383,0.0451,0.0351,0.0364,0.0401,0.1027,0.0525,0.0369,0.0363
cluster6.oracleGeneral.zst_8376428572,183000000.0,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0003,0.0005,0.0003,0.001,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0243,0.0003,0.0003,0.0003
cluster19.oracleGeneral.zst_2006896318,2000000000.0,0.1933,0.1817,0.1903,0.1816,0.2079,0.1813,0.1855,0.1794,0.1837,0.1857,0.248,0.149,0.183,0.1807,0.1902,0.1847,0.1798,0.1804,0.5727,0.2144,0.1811,0.1798
