#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
fiu_madmax-110108-112108.oracleGeneral.zst,699,0.8497,0.8275,0.8499,0.8487,0.8583,0.8791,0.8556,0.8549,0.8584,0.8561,0.8637,0.8578,0.8429,0.8594,0.858,0.8489,0.8507,0.8616,0.8524,0.8615,0.8463
fiu_webusers-030409-033109.oracleGeneral.zst,938,0.7481,0.7296,0.7473,0.7469,0.7891,0.828,0.7782,0.7573,0.7639,0.7847,0.7529,0.79,0.7471,0.7957,0.7882,0.7472,0.7473,0.7547,0.7496,0.7472,0.7468
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst,149091,0.4886,0.28,0.4856,0.5405,0.5217,0.5619,0.573,0.5899,0.6201,0.5444,0.7261,0.4906,0.4741,0.5261,0.5169,0.4948,0.4944,0.5326,0.5024,0.5024,0.4979
fiu_casa-110108-112108.oracleGeneral.zst,3258,0.2279,0.1966,0.2278,0.2272,0.2416,0.2662,0.2453,0.2448,0.2564,0.2513,0.5056,0.2343,0.2296,0.2439,0.2385,0.2281,0.2287,0.3316,0.2382,0.2711,0.2286
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst,4886,0.5328,0.4929,0.5324,0.5342,0.5523,0.5784,0.5557,0.5389,0.5564,0.5434,0.6207,0.5403,0.5327,0.5554,0.5484,0.5323,0.5327,0.5534,0.5354,0.5412,0.5329
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst,1968,0.8106,0.7741,0.811,0.8096,0.8276,0.846,0.8266,0.8192,0.822,0.8256,0.8384,0.8195,0.8111,0.8296,0.8247,0.8103,0.8107,0.8149,0.811,0.8107,0.8099
fiu_webresearch-030409-033109.oracleGeneral.zst,453,0.6509,0.6422,0.6512,0.6541,0.7289,0.7916,0.6932,0.666,0.6956,0.7285,0.6675,0.6686,0.6501,0.7487,0.7368,0.6518,0.652,0.6699,0.6551,0.6526,0.6512
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst,5491,0.6569,0.6152,0.6564,0.6591,0.6739,0.7051,0.6785,0.6596,0.6827,0.6686,0.7351,0.6664,0.6579,0.677,0.6669,0.6548,0.6553,0.6629,0.6581,0.6605,0.6555
fiu_homes-110108-112108.oracleGeneral.zst,16844,0.4336,0.37,0.4341,0.4341,0.4481,0.4654,0.4533,0.453,0.4604,0.4529,0.6579,0.4393,0.435,0.451,0.4453,0.436,0.438,0.4905,0.4423,0.4823,0.4359
fiu_ikki-110108-112108.oracleGeneral.zst,9482,0.6825,0.5913,0.6823,0.6818,0.7193,0.7358,0.7134,0.7152,0.7146,0.7178,0.8509,0.7035,0.6763,0.7231,0.7136,0.6787,0.6813,0.7329,0.6975,0.7168,0.6796
