#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
msr_proj_2.oracleGeneral.zst_29266482,485407.0,0.8913,0.8686,0.8755,0.8722,0.8929,0.8734,0.8805,0.8799,0.8834,0.8794,0.9186,0.79,0.879,0.8869,0.8982,0.8764,0.8742,0.8828,0.8845,0.8976,0.8845,0.8777
msr_proj_1.oracleGeneral.zst_23639742,463560.0,0.8289,0.806,0.8133,0.7964,0.8306,0.8111,0.8122,0.8099,0.8162,0.7887,0.8257,0.7108,0.8132,0.7873,0.8097,0.7952,0.7868,0.8235,0.7914,0.81,0.7914,0.7861
msr_prxy_0.oracleGeneral.zst_12518968,4670.0,0.123,0.0742,0.0789,0.0735,0.0757,0.0732,0.0726,0.0745,0.0823,0.0811,0.0707,0.0545,0.0832,0.0739,0.0961,0.0718,0.0719,0.0853,0.1055,0.1056,0.074,0.0725
msr_prxy_1.oracleGeneral.zst_168638964,11706.0,0.211,0.0807,0.2276,0.0815,0.0353,0.0859,0.1316,0.0901,0.1826,0.196,0.0408,0.0249,0.2216,0.0339,0.0729,0.0903,0.0912,0.2373,0.1163,0.0985,0.0948,0.0829
msr_prn_0.oracleGeneral.zst_5585886,21341.0,0.3039,0.2893,0.2904,0.2895,0.2863,0.2882,0.2726,0.2962,0.3001,0.2939,0.2726,0.2149,0.2988,0.2968,0.2959,0.2845,0.2839,0.2961,0.5329,0.2943,0.291,0.2803
msr_usr_1.oracleGeneral.zst_45283980,418981.0,0.4742,0.4391,0.4296,0.4363,0.4563,0.4591,0.4524,0.4387,0.4677,0.4722,0.4323,0.3987,0.4711,0.4329,0.4716,0.4424,0.4343,0.4733,0.4425,0.4616,0.4405,0.4325
msr_prn_1.oracleGeneral.zst_11233411,65207.0,0.6388,0.5816,0.5973,0.5782,0.5732,0.5968,0.5361,0.5903,0.6257,0.6019,0.5447,0.4412,0.6254,0.5973,0.6167,0.5279,0.5571,0.6248,0.6658,0.6325,0.5837,0.5516
msr_proj_0.oracleGeneral.zst_4224524,8586.0,0.4253,0.3811,0.3834,0.3802,0.3884,0.3913,0.3792,0.3863,0.3979,0.3948,0.3958,0.2599,0.3939,0.3849,0.4083,0.3771,0.3774,0.3977,0.6992,0.4633,0.4207,0.3776
msr_src1_1.oracleGeneral.zst_45746222,185117.0,0.8914,0.8968,0.898,0.8938,0.8904,0.8904,0.8948,0.8932,0.8919,0.8908,0.9112,0.7714,0.8927,0.9428,0.8956,0.9014,0.908,0.8913,0.9066,0.9258,0.9072,0.9094
msr_hm_0.oracleGeneral.zst_3993316,13175.0,0.4022,0.3558,0.3671,0.355,0.3742,0.3735,0.3625,0.3717,0.3841,0.3826,0.3579,0.2838,0.3829,0.3587,0.3852,0.3508,0.3509,0.3874,0.403,0.388,0.3707,0.3522
msr_src1_0.oracleGeneral.zst_37415613,169780.0,0.94,0.9162,0.9292,0.9112,0.9257,0.9348,0.9139,0.9125,0.937,0.9366,0.9234,0.8599,0.9349,0.9176,0.9418,0.9105,0.9088,0.9374,0.8995,0.9477,0.8994,0.9114
msr_web_2.oracleGeneral.zst_5175368,39638.0,0.9962,0.9961,0.963,0.9961,0.9921,0.9961,0.9961,0.9674,0.9959,0.9961,0.9643,0.9489,0.9961,0.9581,0.9954,0.9818,0.9818,0.9961,0.9961,0.9897,0.9961,0.9618
msr_proj_4.oracleGeneral.zst_6465639,90075.0,0.9268,0.8837,0.8949,0.8822,0.92,0.9275,0.8909,0.9078,0.9261,0.9168,0.8743,0.7709,0.9217,0.8805,0.9175,0.882,0.8803,0.923,0.9054,0.9158,0.9054,0.8817
msr_usr_2.oracleGeneral.zst_10570046,221242.0,0.8033,0.7753,0.775,0.7772,0.7872,0.7931,0.7686,0.7526,0.7939,0.7932,0.7644,0.7119,0.7958,0.7465,0.8003,0.7664,0.7617,0.7986,0.7813,0.8061,0.7813,0.7472
