#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
tencentBlock.ns14009.oracleGeneral.zst,99302,0.1771,0.1664,0.1776,0.1856,0.1849,0.2281,0.1933,0.1811,0.183,0.1915,0.194,0.1844,0.1758,0.1875,0.1804,0.1776,0.1884,0.1819,0.2038,0.1732,0.1787
tencentBlock.ns4521.oracleGeneral.zst,55094,0.3176,0.1454,0.3251,0.3062,0.3234,0.2644,0.3237,0.3201,0.2643,0.3209,0.3491,0.2854,0.3042,0.3045,0.3053,0.301,0.2797,0.3034,0.2884,0.2155,0.3095
tencentBlock.ns17082.oracleGeneral.zst,80902,0.056,0.0462,0.0558,0.0576,0.0567,0.0668,0.065,0.0541,0.059,0.0577,0.1332,0.0546,0.059,0.0564,0.0544,0.055,0.0548,0.072,0.0625,0.0617,0.0549
tencentBlock.ns11147.oracleGeneral.zst,30197,0.06,0.0344,0.0576,0.0581,0.06,0.074,0.0694,0.0612,0.0613,0.0648,0.0872,0.058,0.0537,0.0604,0.0579,0.0554,0.0563,0.0616,0.0603,0.0532,0.0569
tencentBlock.ns6032.oracleGeneral.zst,94144,0.2112,0.1698,0.2079,0.2243,0.2292,0.259,0.2758,0.2392,0.2235,0.2808,0.4308,0.2164,0.2074,0.2052,0.2077,0.2121,0.2177,0.2205,0.2239,0.1815,0.2199
tencentBlock.ns22017.oracleGeneral.zst,143817,0.1389,0.1185,0.1453,0.1485,0.1471,0.1592,0.1687,0.1515,0.1445,0.1712,0.4967,0.1387,0.1522,0.1407,0.1419,0.1462,0.1464,0.1457,0.146,0.1421,0.1467
tencentBlock.ns23215.oracleGeneral.zst,136932,0.3286,0.3149,0.3287,0.3275,0.3305,0.3733,0.3474,0.3288,0.3363,0.3303,0.3291,0.3315,0.3239,0.3319,0.331,0.3286,0.3333,0.3291,0.3551,0.3249,0.3224
tencentBlock.ns13133.oracleGeneral.zst,72163,0.2639,0.255,0.2639,0.2746,0.2808,0.3592,0.2961,0.2693,0.2924,0.2813,0.2672,0.287,0.2653,0.2862,0.2706,0.2638,0.2775,0.2672,0.3175,0.2622,0.2661
tencentBlock.ns4046.oracleGeneral.zst,895506,0.9339,0.7333,0.9339,0.8316,0.9345,0.9366,0.8838,0.9347,0.9025,0.92,0.9339,0.9557,0.8298,0.9361,0.936,0.9338,0.9365,0.9339,0.9365,0.8287,0.8418
tencentBlock.ns9502.oracleGeneral.zst,55448,0.3112,0.1447,0.3088,0.3062,0.3572,0.3136,0.347,0.3495,0.2607,0.3503,0.4202,0.289,0.2728,0.2502,0.2491,0.2831,0.2782,0.3203,0.2677,0.2108,0.2736
