#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
cluster18.oracleGeneral.zst_13062209198,1144501.0,0.0407,0.0367,0.0377,0.0357,0.0281,0.0234,0.0285,0.0297,0.0316,0.0281,0.0212,0.0126,0.0329,0.0289,0.0335,0.0275,0.0281,0.0333,0.1387,0.0316,0.0268,0.0271
cluster5.oracleGeneral.zst_10458446348,207336082.0,0.2129,0.2078,0.2116,0.2081,0.2079,0.2036,0.2064,0.2031,0.2044,0.2084,0.2062,0.1984,0.2099,0.2079,0.2047,0.2025,0.2053,0.2078,0.5432,0.2073,0.2087,0.204
cluster4.oracleGeneral.zst_3448082328,10667902.0,0.0474,0.0435,0.0442,0.0431,0.0425,0.0403,0.0407,0.0407,0.0423,0.0423,0.0427,0.0316,0.0432,0.0433,0.0434,0.0389,0.0404,0.0424,0.1975,0.0434,0.0417,0.0399
cluster50.oracleGeneral.zst_139655585,266098.0,0.2173,0.2069,0.2073,0.2071,0.1806,0.1936,0.1902,0.1809,0.1971,0.1857,0.2269,0.1007,0.1858,0.199,0.199,0.1866,0.1825,0.1828,0.5803,0.26,0.1884,0.1934
cluster27.oracleGeneral.zst_12060815269,70475709.0,0.4657,0.4046,0.4268,0.4024,0.482,0.4328,0.3985,0.4323,0.4693,0.4409,0.3725,0.2273,0.4618,0.3936,0.4482,0.3821,0.404,0.4456,0.5526,0.4415,0.4296,0.4034
cluster21.oracleGeneral.zst_1550193320,145347352.0,0.9415,0.9403,0.9389,0.9403,0.9398,0.9404,0.9396,0.9397,0.9403,0.9409,0.9401,0.9375,0.9407,0.9399,0.9394,0.939,0.9389,0.941,0.9403,0.9393,0.9403,0.939
cluster11.oracleGeneral.zst_2731402190,2671672.0,0.1442,0.0973,0.0838,0.0994,0.0778,0.0953,0.0863,0.1024,0.1419,0.0845,0.068,0.0409,0.1187,0.0789,0.1358,0.0934,0.0965,0.1019,0.2437,0.1129,0.0867,0.0965
cluster26.oracleGeneral.zst_156594627,1223105.0,0.0783,0.0781,0.0782,0.0781,0.0782,0.0782,0.0782,0.0781,0.0782,0.0781,0.0809,0.0781,0.0782,0.0781,0.0785,0.0782,0.0781,0.0781,0.7951,0.0783,0.0782,0.0781
cluster16.oracleGeneral.zst_10791885322,1463267.0,0.0653,0.0543,0.0643,0.0534,0.0517,0.0547,0.0491,0.0509,0.0572,0.0491,0.1022,0.0271,0.0559,0.0495,0.0556,0.0504,0.0507,0.0569,0.504,0.0789,0.05,0.0495
cluster23.oracleGeneral.zst_5333543178,144200871.0,0.271,0.2709,1.0,0.2711,0.2709,0.2709,0.2709,0.2709,0.2709,0.2709,0.2715,0.2703,0.271,0.2713,0.271,0.2708,0.2709,0.2709,0.6553,0.2711,0.271,0.2709
