log_name, dram_ratio, miss_ratio, write_byte
w63.oracleGeneral.bin, 0.1, 0.7506, 0.0154
w97.oracleGeneral.bin, 0.1, 0.7407, 0.0008
w31.oracleGeneral.bin, 0.1, 0.9033, 0.0000
w88.oracleGeneral.bin, 0.1, 0.3114, 0.1758
w49.oracleGeneral.bin, 0.1, 0.6433, 0.0129
w102.oracleGeneral.bin, 0.1, 0.2268, 0.0127
w46.oracleGeneral.bin, 0.1, 0.5827, 0.0000
w96.oracleGeneral.bin, 0.1, 0.7490, 0.0120
w77.oracleGeneral.bin, 0.1, 0.5642, 0.0251
w16.oracleGeneral.bin, 0.1, 0.6949, 0.1756
w72.oracleGeneral.bin, 0.1, 0.3494, 0.1404
w92.oracleGeneral.bin, 0.1, 0.8306, 0.0000
w68.oracleGeneral.bin, 0.1, 0.2827, 0.0398
w100.oracleGeneral.bin, 0.1, 0.7402, 0.0006
w39.oracleGeneral.bin, 0.1, 0.1123, 0.0346
w78.oracleGeneral.bin, 0.1, 0.4901, 0.0010
w87.oracleGeneral.bin, 0.1, 0.7551, 0.0742
w89.oracleGeneral.bin, 0.1, 0.3934, 0.0834
w75.oracleGeneral.bin, 0.1, 0.2516, 0.0128
w13.oracleGeneral.bin, 0.1, 0.3988, 0.0000
w29.oracleGeneral.bin, 0.1, 0.6498, 0.0113
w41.oracleGeneral.bin, 0.1, 0.1197, 0.0196
w74.oracleGeneral.bin, 0.1, 0.1928, 0.0398
w50.oracleGeneral.bin, 0.1, 0.4045, 0.0377
w25.oracleGeneral.bin, 0.1, 0.3228, 0.0849
w32.oracleGeneral.bin, 0.1, 0.7303, 0.0000
w81.oracleGeneral.bin, 0.1, 0.7407, 0.0000
w23.oracleGeneral.bin, 0.1, 0.4958, 0.0303
w69.oracleGeneral.bin, 0.1, 0.5753, 0.0140
w04.oracleGeneral.bin, 0.1, 0.4389, 0.0436
w101.oracleGeneral.bin, 0.1, 0.7361, 0.0006
w20.oracleGeneral.bin, 0.1, 0.6539, 0.0431
w43.oracleGeneral.bin, 0.1, 0.7653, 0.0118
w34.oracleGeneral.bin, 0.1, 0.7298, 0.0000
w83.oracleGeneral.bin, 0.1, 0.4921, 0.0000
w106.oracleGeneral.bin, 0.1, 0.2681, 0.0088
w93.oracleGeneral.bin, 0.1, 0.8643, 0.0000
w86.oracleGeneral.bin, 0.1, 0.9427, 1.0723
w03.oracleGeneral.bin, 0.1, 0.5842, 0.0358
w56.oracleGeneral.bin, 0.1, 0.2096, 0.0336
w24.oracleGeneral.bin, 0.1, 0.5899, 0.0161
w82.oracleGeneral.bin, 0.1, 0.3557, 0.6225
w103.oracleGeneral.bin, 0.1, 0.3184, 0.0404
w55.oracleGeneral.bin, 0.1, 0.8725, 0.0000
w28.oracleGeneral.bin, 0.1, 0.7850, 0.0000
w51.oracleGeneral.bin, 0.1, 0.4635, 0.0041
w53.oracleGeneral.bin, 0.1, 0.6899, 0.0605
w54.oracleGeneral.bin, 0.1, 0.8832, 0.0000
w94.oracleGeneral.bin, 0.1, 0.9541, 0.0000
w79.oracleGeneral.bin, 0.1, 0.9722, 0.0000
w104.oracleGeneral.bin, 0.1, 0.8458, 0.6368
w01.oracleGeneral.bin, 0.1, 0.8346, 0.0000
w67.oracleGeneral.bin, 0.1, 0.2007, 0.0243
w90.oracleGeneral.bin, 0.1, 0.7574, 0.0142
w22.oracleGeneral.bin, 0.1, 0.7922, 0.1189
w85.oracleGeneral.bin, 0.1, 0.8446, 0.0000
w71.oracleGeneral.bin, 0.1, 0.2605, 0.0702
w80.oracleGeneral.bin, 0.1, 0.6285, 9.3678
w64.oracleGeneral.bin, 0.1, 0.9025, 0.0000
w05.oracleGeneral.bin, 0.1, 0.7595, 0.0476
w70.oracleGeneral.bin, 0.1, 0.2283, 0.0627
w73.oracleGeneral.bin, 0.1, 0.6390, 0.0091
w42.oracleGeneral.bin, 0.1, 0.7161, 0.0657
w27.oracleGeneral.bin, 0.1, 0.6941, 0.0187
w02.oracleGeneral.bin, 0.1, 0.5394, 3.4129
w65.oracleGeneral.bin, 0.1, 0.9843, 0.0000
w57.oracleGeneral.bin, 0.1, 0.2497, 0.0393
w21.oracleGeneral.bin, 0.1, 0.8531, 0.2695
w47.oracleGeneral.bin, 0.1, 0.1111, 0.1159
w76.oracleGeneral.bin, 0.1, 0.3594, 0.0085
w18.oracleGeneral.bin, 0.1, 0.5617, 0.1939
w52.oracleGeneral.bin, 0.1, 0.2325, 0.0210
w10.oracleGeneral.bin, 0.1, 0.5581, 0.0380
w07.oracleGeneral.bin, 0.1, 0.6758, 0.0042
w45.oracleGeneral.bin, 0.1, 0.1147, 0.0983
w99.oracleGeneral.bin, 0.1, 0.6375, 0.8488
w48.oracleGeneral.bin, 0.1, 0.8871, 4.9794
w60.oracleGeneral.bin, 0.1, 0.7921, 0.0772
w61.oracleGeneral.bin, 0.1, 0.7294, 0.0379
w15.oracleGeneral.bin, 0.1, 0.9776, 0.0001
w19.oracleGeneral.bin, 0.1, 0.5132, 0.1596
w14.oracleGeneral.bin, 0.1, 0.5295, 0.0347
w37.oracleGeneral.bin, 0.1, 0.7351, 0.0068
w06.oracleGeneral.bin, 0.1, 0.0575, 1.9557
w26.oracleGeneral.bin, 0.1, 0.5170, 0.0000
w09.oracleGeneral.bin, 0.1, 0.5446, 0.0059
w84.oracleGeneral.bin, 0.1, 0.3937, 0.0208
w17.oracleGeneral.bin, 0.1, 0.2395, 0.0191
w62.oracleGeneral.bin, 0.1, 0.9288, 0.0000
w35.oracleGeneral.bin, 0.1, 0.1229, 0.0338
w95.oracleGeneral.bin, 0.1, 0.3110, 0.0919
